reef_siteid,area,k,TC,sitedepth,recom_connectivity
159,0.540684,70,2.605181,-1,159
160,0.150149,70,2.708513,-1,160
161,1.235178,70,1.809139,-1,161
162,16.939424,70,0.4773653,-1,162
163,1.679079,70,2.40427,-1,163
164,0.0442108373359063,70,6.010524,-1,164
165,0.626603,70,4.932461,-1,165
166,0.128939817964855,70,4.661822,-1,166
167,2.076658,70,4.279174,-1,167
168,0.326831686629065,70,4.188509,-1,168
169,1.502223,70,4.730243,-1,169
170,0.069759,70,4.763421,-1,170
171,0.034503,70,4.958115,-1,171
172,0.129215,70,0.09364907,-1,172
173,0.334902,70,5.800556,-1,173
174,0.201011,70,4.908686,-1,174
175,0.003904,70,0.9644685,-1,175
176,0.109217,70,0.964822,-1,176
177,2.287435,70,1.913091,-1,177
178,2.340757,70,3.378784,-1,178
179,0.307551,70,0.8734031,-1,179
180,1.342011,70,1.553298,-1,180
181,0.010572,70,2.521162,-1,181
182,0.011946,70,4.602446,-1,182
183,0.1187877996166,70,5.018116,-1,183
184,1.369971,70,2.607394,-1,184
185,0.296121,70,3.472467,-1,185
186,0.4691,70,3.687046,-1,186
187,0.078728,70,2.026187,-1,187
188,0.007261,70,3.962955,-1,188
189,10.570047,70,3.730361,-1,189
190,1.48395625447988,70,3.164156,-1,190
