site_id,habitat,area,rubble,k,Reef,reef_siteid,long,lat,sitedepth,recom_connectivity
MR_S_14,Slope,113449.3534,FALSE,28.26781327,Moore,Moore_MR_S_14,146.2290243,-16.8461855,-8.100813208,168
MR_S_15,Slope,251972.1521,TRUE,19.68939394,Moore,Moore_MR_S_15,146.2127246,-16.86862098,-9.98068329,226
MR_S_16,Slope,107863.5588,TRUE,24.85436893,Moore,Moore_MR_S_16,146.1843711,-16.88399125,-13.88289885,289
MR_S_17,Slope,76292.46321,FALSE,31.11662531,Moore,Moore_MR_S_17,146.1888957,-16.88728961,-10.30916527,283
MR_S_18,Slope,197686.771,FALSE,35,Moore,Moore_MR_S_18,146.2356317,-16.89352107,-17.76331675,150
MR_S_19,Slope,86911.49757,FALSE,24.80306346,Moore,Moore_MR_S_19,146.2475943,-16.85819306,-11.93954548,110
MR_S_2,Slope,126667.2345,FALSE,24.77050414,Moore,Moore_MR_S_2,146.2390917,-16.88529861,-8.737983349,136
MR_S_20,Slope,169475.8539,FALSE,28.38736724,Moore,Moore_MR_S_20,146.1858099,-16.890679,-10.64458749,284
MR_S_21,Slope,78185.52213,FALSE,35.48170732,Moore,Moore_MR_S_21,146.2156933,-16.89054735,-10.66047654,206
MR_S_22,Slope,260229.2244,FALSE,35,Moore,Moore_MR_S_22,146.2191171,-16.89564533,-15.76153461,201
MR_S_23,Slope,106927.8691,FALSE,15.3113879,Moore,Moore_MR_S_23,146.2013882,-16.87912445,-8.452129816,247
MR_S_24,Slope,112890.4843,FALSE,30.7257384,Moore,Moore_MR_S_24,146.1973956,-16.89218092,-10.15583748,259
MR_S_25,Slope,233320.8887,FALSE,31.74698795,Moore,Moore_MR_S_25,146.2292641,-16.88956601,-12.38753252,165
MR_S_26,Slope,147905.0527,FALSE,23.0941704,Moore,Moore_MR_S_26,146.2536629,-16.86819857,-10.07877892,93
MR_S_27,Slope,58788.91377,FALSE,23.48039216,Moore,Moore_MR_S_27,146.2039274,-16.88812596,-11.28899327,240
MR_S_28,Slope,149181.3514,FALSE,31.2188896,Moore,Moore_MR_S_28,146.2227508,-16.88935798,-10.89897727,186
MR_S_29,Slope,120039.9253,FALSE,21.49606299,Moore,Moore_MR_S_29,146.2436449,-16.8544404,-11.42452762,125
MR_S_3,Slope,282427.3982,FALSE,30.20868394,Moore,Moore_MR_S_3,146.235801,-16.88781142,-12.50195414,152
MR_S_30,Slope,47540.95888,TRUE,33.71428571,Moore,Moore_MR_S_30,146.2122097,-16.89697791,-15.32214371,224
MR_S_31,Slope,358457.5876,FALSE,35,Moore,Moore_MR_S_31,146.2314721,-16.89400466,-16.39577161,158
MR_S_32,Slope,54074.51778,FALSE,14.1943958,Moore,Moore_MR_S_32,146.1790075,-16.87106756,-10.0673968,297
MR_S_33,Slope,104429.1099,FALSE,24.93618961,Moore,Moore_MR_S_33,146.2511397,-16.86273472,-11.98879789,99
MR_S_34,Slope,99761.2234,FALSE,30.71085495,Moore,Moore_MR_S_34,146.2107694,-16.8902351,-11.98782063,225
MR_S_35,Slope,41569.63902,FALSE,17.73348519,Moore,Moore_MR_S_35,146.2354222,-16.84787229,-6.15389809,155
MR_S_36,Slope,43760.81061,FALSE,18.91447368,Moore,Moore_MR_S_36,146.2400006,-16.85068587,-8.412495464,141
MR_S_37,Slope,119424.8584,FALSE,31.86900958,Moore,Moore_MR_S_37,146.2036289,-16.87376851,-11.35263797,242
MR_S_38,Slope,27190.38223,TRUE,34.63793103,Moore,Moore_MR_S_38,146.2148327,-16.85134809,-16.59299117,219
MR_S_39,Slope,625.2096517,FALSE,35,Moore,Moore_MR_S_39,146.1673885,-16.8819395,-19.29833349,305
MR_S_4,Slope,130362.7518,TRUE,27.54392387,Moore,Moore_MR_S_4,146.2075251,-16.87047863,-11.27859625,234
MR_S_5,Slope,79127.37978,FALSE,24.12154031,Moore,Moore_MR_S_5,146.2434115,-16.88334675,-6.694912985,119
MR_S_6,Slope,130026.6982,FALSE,30.8008817,Moore,Moore_MR_S_6,146.2241561,-16.85387976,-14.39418115,189
MR_S_7,Slope,232981.6339,FALSE,19.88182559,Moore,Moore_MR_S_7,146.2519936,-16.8747214,-10.49225118,92
MR_S_8,Slope,122921.5272,FALSE,35,Moore,Moore_MR_S_8,146.2484507,-16.88551663,-18.27993309,104
MR_S_9,Slope,137544.4402,FALSE,28.73527374,Moore,Moore_MR_S_9,146.2160457,-16.86373892,-12.24283613,209
MR_BR_1,Back Reef,8743.674497,FALSE,37.5,Milln,Milln_MR_BR_1,146.2745572,-16.78123329,-6.915755788,54
MR_BR_2,Back Reef,7807.61937,FALSE,33.88235294,Milln,Milln_MR_BR_2,146.2837791,-16.78374893,-10.573961,36
MR_BR_3,Back Reef,10930.32928,FALSE,63.79310345,Milln,Milln_MR_BR_3,146.2707105,-16.78655588,-2.014225223,64
MR_BR_4,Back Reef,12492.82563,FALSE,27.13178295,Milln,Milln_MR_BR_4,146.2645246,-16.79355669,-5.295842539,76
MR_BR_5,Back Reef,29047.3361,FALSE,49.23701299,Milln,Milln_MR_BR_5,146.2738787,-16.7933144,-9.214506894,56
MR_C_1,Crest,134911.2921,FALSE,21.8220339,Milln,Milln_MR_C_1,146.2793316,-16.78341766,-1.316991785,43
MR_C_2,Crest,90572.83055,FALSE,33.61256545,Milln,Milln_MR_C_2,146.2757498,-16.78947863,-1.175351648,53
MR_C_3,Crest,48411.07757,FALSE,39.92172211,Milln,Milln_MR_C_3,146.2704982,-16.79311504,-1.329648646,62
MR_C_4,Crest,87456.35003,FALSE,33.40587595,Milln,Milln_MR_C_4,146.2667083,-16.79720475,-1.410452979,71
MR_IF_1,Inner Flat,83696.03227,FALSE,90.93997735,Milln,Milln_MR_IF_1,146.2741135,-16.78601187,-1.554888222,57
MR_IF_2,Inner Flat,158342.4912,FALSE,74.14311485,Milln,Milln_MR_IF_2,146.2679168,-16.79084037,-1.456270546,68
MR_OF_1,Outer Flat,428778.7175,FALSE,38.77777778,Milln,Milln_MR_OF_1,146.2769076,-16.7840217,-1.281010235,48
MR_OF_2,Outer Flat,301067.7944,FALSE,50.36357888,Milln,Milln_MR_OF_2,146.2719391,-16.78911086,-1.299095317,63
MR_OF_3,Outer Flat,237371.8431,FALSE,43.90048154,Milln,Milln_MR_OF_3,146.2664599,-16.79489303,-1.432577167,71
MR_SS_1,Sheltered Slope,1561.360537,FALSE,32.5,Milln,Milln_MR_SS_1,146.2745958,-16.780845,-11.96668744,54
MR_S_1,Slope,133976.4387,FALSE,20.33428165,Milln,Milln_MR_S_1,146.2825387,-16.78317436,-7.984497005,39
MR_S_2,Slope,177710.9156,FALSE,33.5166309,Milln,Milln_MR_S_2,146.2805834,-16.78802464,-10.81357194,42
MR_S_3,Slope,261426.5131,FALSE,32.9250457,Milln,Milln_MR_S_3,146.2767627,-16.79240313,-10.68826577,52
MR_S_4,Slope,233946.985,FALSE,33.01909793,Milln,Milln_MR_S_4,146.2712445,-16.79591114,-9.996754322,61
MR_S_5,Slope,14987.14826,FALSE,35,Milln,Milln_MR_S_5,146.2734545,-16.77374572,-17.33467425,58
MR_S_6,Slope,68075.72698,FALSE,19.54735376,Milln,Milln_MR_S_6,146.2782665,-16.77989911,-6.976189601,49
MR_S_7,Slope,69341.32428,FALSE,16.97931034,Milln,Milln_MR_S_7,146.2653212,-16.79848826,-8.317646624,75
TR_BR_1,Back Reef,3121.455576,FALSE,35.9375,Thetford,Thetford_TR_BR_1,146.1825825,-16.78976929,-13.90503573,292
TR_BR_2,Back Reef,13423.70448,FALSE,25.78014184,Thetford,Thetford_TR_BR_2,146.1849744,-16.79524636,-12.0515194,287
TR_BR_3,Back Reef,15297.34009,FALSE,24.55128205,Thetford,Thetford_TR_BR_3,146.189686,-16.79571532,-10.45671892,281
TR_BR_4,Back Reef,20294.21659,FALSE,58.18604651,Thetford,Thetford_TR_BR_4,146.1845942,-16.80283611,-3.614425747,291
TR_BR_5,Back Reef,18109.42522,FALSE,27.39010989,Thetford,Thetford_TR_BR_5,146.1783097,-16.80749415,-11.33759655,300
TR_BR_6,Back Reef,29039.10975,FALSE,32.41721854,Thetford,Thetford_TR_BR_6,146.1764348,-16.81137558,-12.318539,302
TR_C_1,Crest,85240.40941,FALSE,9.698996656,Thetford,Thetford_TR_C_1,146.1981048,-16.80124558,-1.404920185,263
TR_C_2,Crest,142395.8197,FALSE,18.81648936,Thetford,Thetford_TR_C_2,146.1997148,-16.80738252,-1.381368679,255
TR_C_3,Crest,60271.87517,FALSE,35.33123028,Thetford,Thetford_TR_C_3,146.1958118,-16.81216872,-1.355389166,268
TR_C_4,Crest,26857.03432,FALSE,22.5,Thetford,Thetford_TR_C_4,146.1896314,-16.81468166,-2.121824629,278
TR_C_5,Crest,20922.45744,FALSE,21.2962963,Thetford,Thetford_TR_C_5,146.1802507,-16.81509942,-2.273521537,294
TR_IF_1,Inner Flat,286662.1451,FALSE,48.90365449,Thetford,Thetford_TR_IF_1,146.1860252,-16.81164202,-2.145092685,285
