"","siteref","x","y","site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"41","L_23",28,74,"1_S_2","Slope",36766.0437754346,FALSE,36.0641025641026,19141100104,"19141100104_1_S_2",149.605555691304,-19.5720115016076
"42","L_24",32,77,"1_C_4","Crest",138414.286491261,FALSE,25.4076086956522,19141100104,"19141100104_1_C_4",149.607938522549,-19.5519498077843
"43","L_25",32,80,"1_C_5","Crest",103627.562974264,FALSE,33.9673913043478,19141100104,"19141100104_1_C_5",149.595810113918,-19.5428204148014
"44","L_26",33,78,"1_C_6","Crest",117875.026965514,FALSE,15.146708961142,19141100104,"19141100104_1_C_6",149.604222242441,-19.5474775236021
"45","L_27",31,73,"1_C_7","Crest",140099.243835621,FALSE,13.9316811788346,19141100104,"19141100104_1_C_7",149.616706625093,-19.564688694374
"46","L_27",31,73,"1_OF_1","Outer Flat",112278.85815991,FALSE,37.4058577405858,19141100104,"19141100104_1_OF_1",149.614565833719,-19.5656678542411
"47","L_28",32,74,"1_C_8","Crest",112931.806088981,FALSE,27.8666114333057,19141100104,"19141100104_1_C_8",149.614746478982,-19.5596771870019
"48","L_28",32,74,"1_S_12","Slope",104319.457486705,FALSE,13.5913591359136,19141100104,"19141100104_1_S_12",149.615644225888,-19.5582983966143
"49","L_29",32,75,"1_C_9","Crest",72854.7029357613,FALSE,22.3225806451613,19141100104,"19141100104_1_C_9",149.611508434871,-19.5560416395512
"50","L_30",28,75,"1_IF_1","Inner Flat",145071.11625927,FALSE,48.6765655261459,19141100104,"19141100104_1_IF_1",149.602929273461,-19.5698475375703
"51","L_31",28,78,"1_IF_2","Inner Flat",107625.714384594,FALSE,47.3821989528796,19141100104,"19141100104_1_IF_2",149.592207047814,-19.5602960973462
"52","L_31",28,78,"1_OF_10","Outer Flat",38083.4692112436,FALSE,39.6551724137931,19141100104,"19141100104_1_OF_10",149.594530026415,-19.5607160146893
"53","L_32",31,78,"1_IF_3","Inner Flat",197679.906595395,FALSE,57.8784295175024,19141100104,"19141100104_1_IF_3",149.60061189755,-19.5510164844031
"54","L_32",31,78,"1_P_2","Patch",662.270053399727,FALSE,35,19141100104,"19141100104_1_P_2",149.600837648863,-19.5537266813856
"55","L_33",31,76,"1_IF_5","Inner Flat",137764.028888041,FALSE,50.4189373297003,19141100104,"19141100104_1_IF_5",149.606321707223,-19.5585212701288
"56","L_34",26,78,"1_IF_6","Inner Flat",286805.238813085,FALSE,41.6558018252934,19141100104,"19141100104_1_IF_6",149.587921331773,-19.5672898241741
"57","L_35",30,74,"1_IF_7","Inner Flat",225881.140407546,FALSE,46.5775290215589,19141100104,"19141100104_1_IF_7",149.610410834094,-19.5662200766469
"58","L_36",31,77,"1_IF_8","Inner Flat",152654.909595485,FALSE,58.9244007375538,19141100104,"19141100104_1_IF_8",149.603923215757,-19.5537607963584
"59","L_36",31,77,"1_SS_2","Sheltered Slope",146699.739523391,FALSE,35.6969309462916,19141100104,"19141100104_1_SS_2",149.602502189376,-19.5566757450219
"60","L_37",27,79,"1_IF_9","Inner Flat",160613.796423968,FALSE,59.3438781487991,19141100104,"19141100104_1_IF_9",149.587670015007,-19.5627611305055
"61","L_38",30,75,"1_OF_11","Outer Flat",59613.050267437,FALSE,73.9268680445151,19141100104,"19141100104_1_OF_11",149.606644815554,-19.5627469002413
"62","L_38",30,75,"1_SS_7","Sheltered Slope",18546.1620123507,FALSE,41.375,19141100104,"19141100104_1_SS_7",149.60800312353,-19.5619614607943
"63","L_39",26,80,"1_OF_12","Outer Flat",31790.47290423,FALSE,8.30860534124629,19141100104,"19141100104_1_OF_12",149.583095943038,-19.5613503275953
"64","L_39",26,80,"1_SS_4","Sheltered Slope",128816.273027224,FALSE,24.8663294797688,19141100104,"19141100104_1_SS_4",149.582278597438,-19.5607912186185
"65","L_40",29,74,"1_OF_2","Outer Flat",86116.1380917244,FALSE,30.9705561613959,19141100104,"19141100104_1_OF_2",149.606973572449,-19.5695921450843
"66","L_41",32,79,"1_OF_3","Outer Flat",121845.260044056,FALSE,76.2830482115086,19141100104,"19141100104_1_OF_3",149.599010392983,-19.546930429988
"67","L_42",32,78,"1_OF_5","Outer Flat",175825.122676243,FALSE,45.5167820990943,19141100104,"19141100104_1_OF_5",149.603732336636,-19.549978484143
"68","L_43",25,79,"1_OF_6","Outer Flat",108957.545618331,FALSE,42.6850258175559,19141100104,"19141100104_1_OF_6",149.58368503758,-19.5670365715781
"69","L_43",25,79,"1_SS_8","Sheltered Slope",4967.68817213178,FALSE,2.14285714285714,19141100104,"19141100104_1_SS_8",149.58251383301,-19.5675884056331
"70","L_43",25,79,"1_S_15","Slope",42390.1939176908,FALSE,22.9295154185022,19141100104,"19141100104_1_S_15",149.581581824197,-19.5665646044948
"71","L_44",31,81,"1_OF_8","Outer Flat",27148.5399397584,FALSE,24.9146757679181,19141100104,"19141100104_1_OF_8",149.592243890694,-19.5439482706494
"72","L_44",31,81,"1_SS_9","Sheltered Slope",662.160829480737,FALSE,35,19141100104,"19141100104_1_SS_9",149.590378531335,-19.5445337829598
"73","L_44",31,81,"1_S_13","Slope",47012.4710485893,FALSE,23.6418511066398,19141100104,"19141100104_1_S_13",149.591465163595,-19.5428468801406
"74","L_45",29,77,"1_OF_9","Outer Flat",83783.7712785802,FALSE,40.6911928651059,19141100104,"19141100104_1_OF_9",149.59964337719,-19.5596087743581
"75","L_46",30,82,"1_S_11","Slope",69195.9914352349,FALSE,31.2106703146375,19141100104,"19141100104_1_S_11",149.585783944518,-19.5458275641744
"76","L_47",29,79,"1_S_14","Slope",1324.51976507343,FALSE,35,19141100104,"19141100104_1_S_14",149.592001789728,-19.5547532225505
"77","L_48",25,78,"1_S_16","Slope",66239.564603792,FALSE,25.6647807637907,19141100104,"19141100104_1_S_16",149.587180468686,-19.5704570348428
"78","L_49",33,76,"1_S_5","Slope",129478.027980667,FALSE,19.956678700361,19141100104,"19141100104_1_S_5",149.611482626726,-19.553501369774
"79","L_50",33,80,"1_S_6","Slope",96342.5628727255,FALSE,20.4956268221574,19141100104,"19141100104_1_S_6",149.596788464135,-19.5416495190576
"80","L_51",33,77,"1_S_7","Slope",84104.4971043938,FALSE,16.6335540838852,19141100104,"19141100104_1_S_7",149.60756912275,-19.5489137558871
"81","L_52",32,73,"1_S_9","Slope",141424.817234064,FALSE,19.6897689768977,19141100104,"19141100104_1_S_9",149.61807514903,-19.5647426770939
"82","L_53",37,65,"1_BR_1","Back Reef",17225.5211213203,FALSE,11.0160427807487,19142100104,"19142100104_1_BR_1",149.653456390483,-19.5679874755899
"83","L_53",37,65,"1_P_1","Patch",1325.0856136186,FALSE,50,19142100104,"19142100104_1_P_1",149.654512019996,-19.5701737246812
"84","L_54",37,64,"1_BR_2","Back Reef",51678.9310017065,FALSE,26.880650994575,19142100104,"19142100104_1_BR_2",149.659500075456,-19.5698109278092
"85","L_55",35,64,"1_BR_3","Back Reef",5631.84712940874,FALSE,21.4545454545455,19142100104,"19142100104_1_BR_3",149.652462466715,-19.5736043412577
"86","L_56",37,61,"1_BR_4","Back Reef",44064.9503189027,FALSE,25.7356076759062,19142100104,"19142100104_1_BR_4",149.664846583335,-19.5771702074731
"87","L_56",37,61,"1_OF_2","Outer Flat",64607.5689434106,FALSE,50.2164502164502,19142100104,"19142100104_1_OF_2",149.66821156899,-19.5775446699243
"88","L_57",37,60,"1_BR_5","Back Reef",15241.1854191981,FALSE,39.65625,19142100104,"19142100104_1_BR_5",149.669477707997,-19.5792293848608
"89","L_57",37,60,"1_C_4","Crest",107020.382265287,FALSE,35.8705161854768,19142100104,"19142100104_1_C_4",149.669686332812,-19.5796811642381
"90","L_57",37,60,"1_SS_1","Sheltered Slope",7289.26452113548,FALSE,32.4675324675325,19142100104,"19142100104_1_SS_1",149.667614267416,-19.579688448395
"91","L_57",37,60,"1_S_5","Slope",125905.937328041,FALSE,23.2488822652757,19142100104,"19142100104_1_S_5",149.670692976732,-19.5792208631027
"92","L_58",38,64,"1_C_1","Crest",25838.3530361885,FALSE,21.1111111111111,19142100104,"19142100104_1_C_1",149.658251363749,-19.5670485424849
"93","L_58",38,64,"1_OF_1","Outer Flat",30476.333067588,FALSE,33.3333333333333,19142100104,"19142100104_1_OF_1",149.658070799547,-19.5678529187189
"94","L_59",38,63,"1_C_2","Crest",169282.41143637,FALSE,18.6421814134669,19142100104,"19142100104_1_C_2",149.663966802264,-19.5690844502811
"95","L_60",38,61,"1_C_3","Crest",81833.5300168069,FALSE,51.0250569476082,19142100104,"19142100104_1_C_3",149.668547342744,-19.5750999165095
"96","L_60",38,61,"1_S_7","Slope",90114.4329256429,FALSE,13.3333333333333,19142100104,"19142100104_1_S_7",149.669238323501,-19.573484075775
"97","L_61",37,63,"1_S_1","Slope",103692.691478221,FALSE,31.158371040724,19142100104,"19142100104_1_S_1",149.659603850534,-19.5722204043636
"98","L_62",38,65,"1_S_2","Slope",157344.716562011,FALSE,24.2963625521765,19142100104,"19142100104_1_S_2",149.655217933479,-19.5658582213454
