"source_site","receiving_site","transfer_probability"
"BP_BR_1","MR_IF_3",0.000276089223823203
"BP_BR_1","MR_IF_30",0.00104115431293613
"BP_BR_1","MR_IF_31",0.00105313449332901
"BP_BR_1","MR_IF_32",0.000389810320392557
"BP_BR_1","MR_IF_33",0.000696349575593847
"BP_BR_1","MR_IF_4",0.00041839629494019
"BP_BR_1","MR_IF_5",0.000333318019099395
"BP_BR_1","MR_IF_6",0.000406391513965422
"BP_BR_1","MR_IF_7",0.000410534167186992
"BP_BR_1","MR_IF_8",0.000814585690043777
"BP_BR_1","MR_IF_9",0.000432063673615801
"BP_BR_1","MR_OF_1",0.00104818715414809
"BP_BR_1","MR_OF_10",0.000718840090820902
"BP_BR_1","MR_OF_2",0.00141050702413101
"BP_BR_1","MR_OF_6",0.00174693738163448
"BP_BR_1","MR_OF_7",0.000676251150323555
"BP_BR_1","MR_OF_8",0.000876331814928662
"BP_BR_1","MR_OF_9",0.00106092108448142
"BP_BR_1","MR_S_1",0.00359142363954657
"BP_BR_1","MR_S_11",0.00227950189911051
"BP_BR_1","MR_S_12",0.00378299541688683
"BP_BR_1","MR_S_13",0.00457699303278073
"BP_BR_1","MR_S_14",0.00291910409633652
"BP_BR_1","MR_S_15",0.00380581589556659
"BP_BR_1","MR_S_16",0.00252708541049921
"BP_BR_1","MR_S_2",0.00410999792339828
"BP_BR_1","MR_S_20",0.00281268797825823
"BP_BR_1","MR_S_22",0.00372814495916319
"BP_BR_1","MR_S_23",0.00346833837401833
"BP_BR_1","MR_S_24",0.00483059733135718
"BP_BR_1","MR_S_26",0.0032917112489703
"BP_BR_1","MR_S_27",0.00384623806167001
"BP_BR_1","MR_S_28",0.00372583545057972
"BP_BR_1","MR_S_4",0.0032063868404193
"BP_BR_1","MR_S_5",0.00369259182903506
"BP_BR_1","MR_S_6",0.00340861547625762
"BP_BR_1","MR_S_7",0.00282906761284165
"BP_BR_1","MR_S_8",0.003715340915263
"BP_BR_1","MR_S_9",0.00629757016668762
"BP_BR_1","MR_SS_10",0.00241527546843513
"BP_BR_1","MR_SS_11",0.0028348909493455
"BP_BR_1","MR_SS_13",0.000955923202199199
"BP_BR_1","MR_SS_14",0.00114398671990661
"BP_BR_1","MR_SS_15",0.00333709423239283
"BP_BR_1","MR_SS_16",0.00106878602750853
"BP_BR_1","MR_SS_4",0.00297653109702312
"BP_BR_1","MR_SS_5",0.00178784933725951
"BP_BR_1","MR_SS_7",0.00222409100936865
"BP_BR_1","MR_SS_8",0.00112348368504433
"BP_BR_1","MR_SS_9",0.000916591050371745
"BP_BR_1","NR_BR_1",0.00264418927462505
"BP_BR_1","NR_BR_2",0.00522229908771514
"BP_BR_1","NR_BR_3",0.00595374596542305
"BP_BR_1","NR_BR_4",0.00572336909430008
"BP_BR_1","NR_C_1",0.0041437646643157
"BP_BR_1","NR_C_2",0.000640550660098391
"BP_BR_1","NR_C_3",0.0061347836565449
"BP_BR_1","NR_C_4",0.00118299527321853
"BP_BR_1","NR_C_5",0.0024420958020498
"BP_BR_1","NR_IF_1",0.000566557281550983
"BP_BR_1","NR_IF_2",0.00109036334458167
"BP_BR_1","NR_IF_3",0.000885417749189904
"BP_BR_1","NR_OF_1",0.00109284186050034
"BP_BR_1","NR_OF_2",0.00233027896258583
"BP_BR_1","NR_OF_3",0.00458223273249003
"BP_BR_1","NR_OF_4",0.000632125318238528
"BP_BR_1","NR_OF_6",0.0027828475574839
"BP_BR_1","NR_OF_7",0.00386918948808013
"BP_BR_1","NR_S_1",0.00388757425625915
"BP_BR_1","NR_S_2",0.00440165525355622
"BP_BR_1","NR_S_3",0.00397586454691016
"BP_BR_1","NR_S_5",0.00738412016360483
"BP_BR_1","NR_S_6",0.00555159843447554
"BP_BR_1","NR_S_7",0.004485442333759
"BP_BR_1","OR_BR_1",0.0196430222587137
"BP_BR_1","SR_BR_1",0.00393544759082512
"BP_BR_1","SR_BR_2",0.00703730228947909
"BP_BR_1","SR_C_1",0.0039465394972624
"BP_BR_1","SR_C_2",0.0045775240086173
"BP_BR_1","SR_C_3",0.0117129665462257
"BP_BR_1","SR_OF_1",0.00309147933881091
"BP_BR_1","SR_S_1",0.00554789445266634
"BP_BR_1","SR_S_2",0.00749151811074551
"BP_BR_1","SR_S_5",0.0117320361886283
"BP_BR_1","SR_SS_1",0.0068810033836528
"BP_BR_2","BP_BR_1",0.0027545313906809
"BP_BR_2","BP_BR_2",0.00740023365543216
"BP_BR_2","BP_BR_3",0.170751576846114
"BP_BR_2","BP_SS_2",0.0306254641333298
"BP_BR_2","HR_BR_1",0.00566517101694939
"BP_BR_2","HR_BR_2",0.00129323779723728
"BP_BR_2","HR_BR_3",0.00330675564614933
"BP_BR_2","HR_BR_4",0.00282040871908401
"BP_BR_2","HR_BR_5",0.00192635751073451
"BP_BR_2","HR_BR_6",0.00338041493783889
"BP_BR_2","HR_BR_7",0.00712785086439812
"BP_BR_2","HR_BR_8",0.00668250703082193
"BP_BR_2","HR_C_1",0.00146528170519078
"BP_BR_2","HR_C_2",0.00184130338133484
"BP_BR_2","HR_C_3",0.000737432533320521
"BP_BR_2","HR_C_4",0.00530363035973022
"BP_BR_2","HR_C_5",0.00176334689023119
"BP_BR_2","HR_C_6",0.0031912358428099
"BP_BR_2","HR_C_7",0.00207555597079732
"BP_BR_2","HR_C_8",0.00179386755637913
"BP_BR_2","HR_IF_1",0.000606626950724011
"BP_BR_2","HR_IF_2",0.0004588183685588
"BP_BR_2","HR_IF_3",0.000814973980633174
"BP_BR_2","HR_IF_4",0.00229226240920984
"BP_BR_2","HR_IF_5",0.00080907136711853
"BP_BR_2","HR_IF_6",0.000538712054662061
"BP_BR_2","HR_IF_7",0.00104183265005803
"BP_BR_2","HR_IF_8",0.00242357491123148
"BP_BR_2","HR_IF_9",0.00131041733243556
"BP_BR_2","HR_OF_1",0.000661515014938275
"BP_BR_2","HR_OF_2",0.00189280571190146
"BP_BR_2","HR_OF_3",0.00146596114442757
"BP_BR_2","HR_OF_4",0.00263851462897927
"BP_BR_2","HR_OF_5",0.00211925414503749
"BP_BR_2","HR_OF_9",0.00125760386483988
"BP_BR_2","HR_S_10",0.00430963415799485
"BP_BR_2","HR_S_11",0.00310860257122501
"BP_BR_2","HR_S_13",0.00859329980449842
"BP_BR_2","HR_S_14",0.00414748898053178
"BP_BR_2","HR_S_15",0.00300369168046496
"BP_BR_2","HR_S_2",0.00566120175057986
"BP_BR_2","HR_S_3",0.00811884644427189
"BP_BR_2","HR_S_4",0.00524109582195464
"BP_BR_2","HR_S_5",0.00434195527356489
"BP_BR_2","HR_S_6",0.00513555057635214
"BP_BR_2","HR_S_7",0.00643071068923017
"BP_BR_2","HR_S_8",0.00751212282238818
"BP_BR_2","HR_S_9",0.00451519405091386
"BP_BR_2","HR_SS_1",0.00393099760840499
"BP_BR_2","HR_SS_2",0.00519108741262532
"BP_BR_2","JP_BR_1",0.00967046040102948
"BP_BR_2","JP_S_1",0.00945639175265767
"BP_BR_2","MR_BR_1",0.00298511242731313
"BP_BR_2","MR_BR_10",0.00227067624199733
"BP_BR_2","MR_BR_11",0.0031324540627728
"BP_BR_2","MR_BR_12",0.00262185494882436
"BP_BR_2","MR_BR_13",0.00302060486555536
"BP_BR_2","MR_BR_14",0.00311726101567972
"BP_BR_2","MR_BR_15",0.00224782222822346
"BP_BR_2","MR_BR_16",0.00327184007262015
"BP_BR_2","MR_BR_17",0.00268207734275597
"BP_BR_2","MR_BR_18",0.00364644361336249
"BP_BR_2","MR_BR_2",0.00460161980741876
"BP_BR_2","MR_BR_3",0.00174574018936564
"BP_BR_2","MR_BR_4",0.00279224009472175
"BP_BR_2","MR_BR_5",0.00324540598651543
"BP_BR_2","MR_BR_6",0.00210449767513248
"BP_BR_2","MR_BR_7",0.00284311393902912
"BP_BR_2","MR_BR_8",0.000917357651004879
"BP_BR_2","MR_BR_9",0.00225540800704181
"BP_BR_2","MR_C_1",0.00102622907723897
"BP_BR_2","MR_C_10",0.00115232310823652
"BP_BR_2","MR_C_11",0.00134084628081441
"BP_BR_2","MR_C_12",0.00212108813857772
"BP_BR_2","MR_C_13",0.00124374343306176
"BP_BR_2","MR_C_14",0.00065885720020786
"BP_BR_2","MR_C_15",0.00376654548446386
"BP_BR_2","MR_C_16",0.000712142541823711
"BP_BR_2","MR_C_2",0.000519818313821904
"BP_BR_2","MR_C_3",0.00105418048934927
"BP_BR_2","MR_C_4",0.00343775561373196
"BP_BR_2","MR_C_5",0.000778130167884928
"BP_BR_2","MR_C_6",0.00241292578776668
"BP_BR_2","MR_C_7",0.00242764653661236
"BP_BR_2","MR_C_8",0.00136163770352695
"BP_BR_2","MR_C_9",0.000815483277187223
"BP_BR_2","MR_IF_1",0.000402367555361215
"BP_BR_2","MR_IF_10",0.000336923250537324
"BP_BR_2","MR_IF_11",0.000781602560584032
"BP_BR_2","MR_IF_12",0.000846290405661228
"BP_BR_2","MR_IF_13",0.000268359119787617
"BP_BR_2","MR_IF_14",0.000602135896832526
"BP_BR_2","MR_IF_15",0.000591777660252554
"BP_BR_2","MR_IF_16",0.000513717705389271
"BP_BR_2","MR_IF_17",0.00125909057582214
"BP_BR_2","MR_IF_18",0.00050745363564833
"BP_BR_2","MR_IF_19",0.00029968959526185
"BP_BR_2","MR_IF_2",0.000349140000798869
"BP_BR_2","MR_IF_20",0.000327439912444922
"BP_BR_2","MR_IF_21",0.000449930146500809
"BP_BR_2","MR_IF_22",0.000274494490961826
"BP_BR_2","MR_IF_23",0.000441928516987993
"BP_BR_2","MR_IF_24",0.000300151585547128
"BP_BR_2","MR_IF_25",0.000477892982817139
"BP_BR_2","MR_IF_26",0.000743881752964862
"BP_BR_2","MR_IF_27",0.000351639216293505
"BP_BR_2","MR_IF_28",0.000396934458697451
"BP_BR_2","MR_IF_29",0.000366291909715248
"BP_BR_2","MR_IF_3",0.000277685667394201
"BP_BR_2","MR_IF_30",0.00105444063564231
"BP_BR_2","MR_IF_31",0.00106180009822572
"BP_BR_2","MR_IF_32",0.000392138683034376
"BP_BR_2","MR_IF_33",0.000700675879976458
"BP_BR_2","MR_IF_4",0.000420978411139641
"BP_BR_2","MR_IF_5",0.000335728062709299
"BP_BR_2","MR_IF_6",0.000408979934734983
"BP_BR_2","MR_IF_7",0.000413571074427422
"BP_BR_2","MR_IF_8",0.000820311296573169
"BP_BR_2","MR_IF_9",0.000435352629263675
"BP_BR_2","MR_OF_1",0.0010551549614626
"BP_BR_2","MR_OF_10",0.000723846198518586
"BP_BR_2","MR_OF_2",0.00142238130537258
"BP_BR_2","MR_OF_6",0.00176976330633491
"BP_BR_2","MR_OF_7",0.000682408394052346
"BP_BR_2","MR_OF_8",0.000883649037965437
"BP_BR_2","MR_OF_9",0.0010741133740471
"BP_BR_2","MR_S_1",0.00363288758164059
"BP_BR_2","MR_S_11",0.00231044402522479
"BP_BR_2","MR_S_12",0.00381035969800438
"BP_BR_2","MR_S_13",0.00461410747665612
"BP_BR_2","MR_S_14",0.00296003920974859
"BP_BR_2","MR_S_15",0.00384207931359205
"BP_BR_2","MR_S_16",0.00256086993989854
"BP_BR_2","MR_S_2",0.00415617075230153
"BP_BR_2","MR_S_20",0.00284178991750668
"BP_BR_2","MR_S_22",0.00378030610902642
"BP_BR_2","MR_S_23",0.00349734579018838
"BP_BR_2","MR_S_24",0.00487024647923791
"BP_BR_2","MR_S_26",0.00332656905189414
"BP_BR_2","MR_S_27",0.00388184059876617
"BP_BR_2","MR_S_28",0.00376246445547559
"BP_BR_2","MR_S_4",0.00323800210548287
"BP_BR_2","MR_S_5",0.00371746241770883
"BP_BR_2","MR_S_6",0.00344707060367387
"BP_BR_2","MR_S_7",0.00285701894033838
"BP_BR_2","MR_S_8",0.00374510397051095
"BP_BR_2","MR_S_9",0.00636011998124462
"BP_BR_2","MR_SS_10",0.00244811955703676
"BP_BR_2","MR_SS_11",0.00286787326536356
"BP_BR_2","MR_SS_13",0.00096744239791622
"BP_BR_2","MR_SS_14",0.00115287746306926
"BP_BR_2","MR_SS_15",0.00336788058407117
"BP_BR_2","MR_SS_16",0.00107765549183957
"BP_BR_2","MR_SS_4",0.0030184614409182
"BP_BR_2","MR_SS_5",0.00180395106652118
"BP_BR_2","MR_SS_7",0.0022546342315862
"BP_BR_2","MR_SS_8",0.00113210471059638
"BP_BR_2","MR_SS_9",0.000922868157009959
"BP_BR_2","NR_BR_1",0.00261203392372714
"BP_BR_2","NR_BR_2",0.00515362719297121
"BP_BR_2","NR_BR_3",0.00587850711386564
"BP_BR_2","NR_BR_4",0.0056463681664852
"BP_BR_2","NR_C_1",0.00408885991031917
"BP_BR_2","NR_C_2",0.000632659913223906
"BP_BR_2","NR_C_3",0.00605292895556687
"BP_BR_2","NR_C_4",0.001168659761008
"BP_BR_2","NR_C_5",0.00241245768560569
"BP_BR_2","NR_IF_1",0.000559487769253594
"BP_BR_2","NR_IF_2",0.00107617666873858
"BP_BR_2","NR_IF_3",0.000874563148376794
"BP_BR_2","NR_OF_1",0.00107876140101216
"BP_BR_2","NR_OF_2",0.00230212257468736
"BP_BR_2","NR_OF_3",0.00452101099083577
"BP_BR_2","NR_OF_4",0.000624450941407294
"BP_BR_2","NR_OF_6",0.00274626271740044
"BP_BR_2","NR_OF_7",0.00381763537356238
"BP_BR_2","NR_S_1",0.0038395929495223
"BP_BR_2","NR_S_2",0.00434642787307024
"BP_BR_2","NR_S_3",0.0039271859643604
"BP_BR_2","NR_S_5",0.00728337086401868
"BP_BR_2","NR_S_6",0.00547875080277149
"BP_BR_2","NR_S_7",0.00442626300608228
"BP_BR_2","OR_BR_1",0.0193973654981578
"BP_BR_2","SR_BR_1",0.00387310277780217
"BP_BR_2","SR_BR_2",0.00691955873812838
"BP_BR_2","SR_C_1",0.00389272926945279
"BP_BR_2","SR_C_2",0.00450258974101736
"BP_BR_2","SR_C_3",0.0115147027421516
"BP_BR_2","SR_OF_1",0.00304458592674134
"BP_BR_2","SR_S_1",0.0054755209292167
"BP_BR_2","SR_S_2",0.00738772318857202
"BP_BR_2","SR_S_5",0.0115315289473886
"BP_BR_2","SR_SS_1",0.00678173678786793
"BP_BR_3","BP_BR_1",0.00279068299252015
"BP_BR_3","BP_BR_2",0.00348264150728844
"BP_BR_3","BP_BR_3",0.0088425145705925
"BP_BR_3","BP_SS_2",0.003136163547506
"BP_BR_3","HR_BR_1",0.0057012838863645
"BP_BR_3","HR_BR_2",0.00130287997040573
"BP_BR_3","HR_BR_3",0.0033245335721162
"BP_BR_3","HR_BR_4",0.00284302940829133
"BP_BR_3","HR_BR_5",0.00194451631491296
"BP_BR_3","HR_BR_6",0.0034061918327528
"BP_BR_3","HR_BR_7",0.00722153166767204
"BP_BR_3","HR_BR_8",0.00672617532016373
"BP_BR_3","HR_C_1",0.00147977942817465
"BP_BR_3","HR_C_2",0.0018600244689043
"BP_BR_3","HR_C_3",0.000745107424310565
"BP_BR_3","HR_C_4",0.00533606662952171
"BP_BR_3","HR_C_5",0.00177958827379992
"BP_BR_3","HR_C_6",0.00322429163986168
"BP_BR_3","HR_C_7",0.00209693186224567
"BP_BR_3","HR_C_8",0.00181237550140089
"BP_BR_3","HR_IF_1",0.00061215661751591
"BP_BR_3","HR_IF_2",0.000462852839465103
"BP_BR_3","HR_IF_3",0.000822706186222385
"BP_BR_3","HR_IF_4",0.00231030555973247
"BP_BR_3","HR_IF_5",0.000816078445040146
"BP_BR_3","HR_IF_6",0.000543279005612052
"BP_BR_3","HR_IF_7",0.00105221838407506
"BP_BR_3","HR_IF_8",0.00244677852759165
"BP_BR_3","HR_IF_9",0.001322853372974
"BP_BR_3","HR_OF_1",0.000667522614124237
"BP_BR_3","HR_OF_2",0.00191235773411181
"BP_BR_3","HR_OF_3",0.00147891122262937
"BP_BR_3","HR_OF_4",0.00266618156910365
"BP_BR_3","HR_OF_5",0.00214058269510736
"BP_BR_3","HR_OF_9",0.00126927224918001
"BP_BR_3","HR_S_10",0.00433897736145082
"BP_BR_3","HR_S_11",0.00314353199828664
"BP_BR_3","HR_S_13",0.00870985233887158
"BP_BR_3","HR_S_14",0.00417431932735351
"BP_BR_3","HR_S_15",0.00303708272024373
"BP_BR_3","HR_S_2",0.00572267951319218
"BP_BR_3","HR_S_3",0.00821635616403719
"BP_BR_3","HR_S_4",0.00528179455398689
"BP_BR_3","HR_S_5",0.00438159887180877
"BP_BR_3","HR_S_6",0.00519040417474566
"BP_BR_3","HR_S_7",0.00651154626423579
"BP_BR_3","HR_S_8",0.00761164112109322
"BP_BR_3","HR_S_9",0.00455986688107064
"BP_BR_3","HR_SS_1",0.00395666678540184
"BP_BR_3","HR_SS_2",0.00521138659978249
"BP_BR_3","JP_BR_1",0.00973756139203564
"BP_BR_3","JP_S_1",0.00952178047946384
"BP_BR_3","MR_BR_1",0.00301498686232644
"BP_BR_3","MR_BR_10",0.00229977500742854
"BP_BR_3","MR_BR_11",0.00316742029595437
"BP_BR_3","MR_BR_12",0.00265693393748195
"BP_BR_3","MR_BR_13",0.00306079856599376
"BP_BR_3","MR_BR_14",0.00315269708792996
"BP_BR_3","MR_BR_15",0.00227574493300913
"BP_BR_3","MR_BR_16",0.00331435832789894
"BP_BR_3","MR_BR_17",0.00271742283118387
"BP_BR_3","MR_BR_18",0.00369483008620074
"BP_BR_3","MR_BR_2",0.00464542905883834
"BP_BR_3","MR_BR_3",0.00176081339603486
"BP_BR_3","MR_BR_4",0.00281836898497967
"BP_BR_3","MR_BR_5",0.00327736939234606
"BP_BR_3","MR_BR_6",0.00212519951060011
