"source_site","receiving_site","transfer_probability"
"BP_BR_1","BP_BR_1",0.00561387953016412
"BP_BR_1","BP_BR_2",0.0926455743396365
"BP_BR_1","BP_BR_3",0.00813805983651412
"BP_BR_1","BP_SS_2",0.0719938513058738
"BP_BR_1","HR_BR_1",0.00581980390413998
"BP_BR_1","HR_BR_2",0.00129676158853277
"BP_BR_1","HR_BR_3",0.00340464196190795
"BP_BR_1","HR_BR_4",0.0028551363540385
"BP_BR_1","HR_BR_5",0.00195867841151161
"BP_BR_1","HR_BR_6",0.00341923325499398
"BP_BR_1","HR_BR_7",0.00733707122088811
"BP_BR_1","HR_BR_8",0.00713557096713061
"BP_BR_1","HR_C_1",0.00143300443083525
"BP_BR_1","HR_C_2",0.00179692551248575
"BP_BR_1","HR_C_3",0.000718906059596808
"BP_BR_1","HR_C_4",0.00552477704746391
"BP_BR_1","HR_C_5",0.00176423801398069
"BP_BR_1","HR_C_6",0.00312744198856708
"BP_BR_1","HR_C_7",0.00205978113199825
"BP_BR_1","HR_C_8",0.00180413693394507
"BP_BR_1","HR_IF_1",0.000598703132640496
"BP_BR_1","HR_IF_2",0.00045078868665335
"BP_BR_1","HR_IF_3",0.000810115909456592
"BP_BR_1","HR_IF_4",0.0023301462367724
"BP_BR_1","HR_IF_5",0.000796995015012282
"BP_BR_1","HR_IF_6",0.000531611602745885
"BP_BR_1","HR_IF_7",0.0010428640924212
"BP_BR_1","HR_IF_8",0.00245880649894882
"BP_BR_1","HR_IF_9",0.00131227784796696
"BP_BR_1","HR_OF_1",0.000650783468715201
"BP_BR_1","HR_OF_2",0.0018911407047151
"BP_BR_1","HR_OF_3",0.00147527087184231
"BP_BR_1","HR_OF_4",0.00258823263288234
"BP_BR_1","HR_OF_5",0.00212766139059205
"BP_BR_1","HR_OF_9",0.00123411221178081
"BP_BR_1","HR_S_10",0.00441080024432883
"BP_BR_1","HR_S_11",0.00302636576395475
"BP_BR_1","HR_S_13",0.00863314122274231
"BP_BR_1","HR_S_14",0.00422465970284045
"BP_BR_1","HR_S_15",0.00291261212727298
"BP_BR_1","HR_S_2",0.00558978695902138
"BP_BR_1","HR_S_3",0.0085646676032292
"BP_BR_1","HR_S_4",0.00531736821073659
"BP_BR_1","HR_S_5",0.00432396345371456
"BP_BR_1","HR_S_6",0.00501628773951511
"BP_BR_1","HR_S_7",0.00672111731208223
"BP_BR_1","HR_S_8",0.00767253987390246
"BP_BR_1","HR_S_9",0.00472862689475165
"BP_BR_1","HR_SS_1",0.0040154574483911
"BP_BR_1","HR_SS_2",0.00544361253180755
"BP_BR_1","JP_BR_1",0.0131124009979478
"BP_BR_1","JP_S_1",0.0123538195541343
"BP_BR_1","MR_BR_1",0.00304497408104518
"BP_BR_1","MR_BR_10",0.00237845806726655
"BP_BR_1","MR_BR_11",0.00326728539879723
"BP_BR_1","MR_BR_12",0.00276269281816777
"BP_BR_1","MR_BR_13",0.00318916518791426
"BP_BR_1","MR_BR_14",0.00326454485407173
"BP_BR_1","MR_BR_15",0.00235725798087211
"BP_BR_1","MR_BR_16",0.00345047450613894
"BP_BR_1","MR_BR_17",0.00281595682391666
"BP_BR_1","MR_BR_18",0.00382916238654507
"BP_BR_1","MR_BR_2",0.00468585287841542
"BP_BR_1","MR_BR_3",0.00180731619899698
"BP_BR_1","MR_BR_4",0.00287213680462462
"BP_BR_1","MR_BR_5",0.00333947369841694
"BP_BR_1","MR_BR_6",0.00218445165720606
"BP_BR_1","MR_BR_7",0.00296145531042381
"BP_BR_1","MR_BR_8",0.000955066355235971
"BP_BR_1","MR_BR_9",0.00234202285004076
"BP_BR_1","MR_C_1",0.00107061542188279
"BP_BR_1","MR_C_10",0.00119886171279618
"BP_BR_1","MR_C_11",0.00139229707097568
"BP_BR_1","MR_C_12",0.00222562945635596
"BP_BR_1","MR_C_13",0.00128053036642085
"BP_BR_1","MR_C_14",0.000686858961895827
"BP_BR_1","MR_C_15",0.0038634708726518
"BP_BR_1","MR_C_16",0.00073239860223053
"BP_BR_1","MR_C_2",0.000532796599298465
"BP_BR_1","MR_C_3",0.00110245227363287
"BP_BR_1","MR_C_4",0.00351353951183025
"BP_BR_1","MR_C_5",0.000815884954022405
"BP_BR_1","MR_C_6",0.00246673434111128
