"","RCP","Reef","Year","maxDHW","resid","trend","anomaly","stochasticAnomaly.1","stochasticDHW.1","stochasticAnomaly.2","stochasticDHW.2","stochasticAnomaly.3","stochasticDHW.3","stochasticAnomaly.4","stochasticDHW.4","stochasticAnomaly.5","stochasticDHW.5","stochasticAnomaly.6","stochasticDHW.6","stochasticAnomaly.7","stochasticDHW.7","stochasticAnomaly.8","stochasticDHW.8","stochasticAnomaly.9","stochasticDHW.9","stochasticAnomaly.10","stochasticDHW.10"
"1","2.6","Moore",2021,0,-3.59827892495444,3.59827892495444,2.96863227394433,-2.37390407012598,1.22437485482845,-2.11097501490984,1.4873039100446,-3.79700154859766,-0.198722623643228,-3.08821063973145,0.510068285222987,-0.231519207475922,3.36675971747851,8.94355089638346,12.5418298213379,-2.07147326172462,1.52680566322981,2.96863227394433,6.56691119889876,-2.52485253987729,1.07342638507714,2.96863227394433,6.56691119889876
"2","2.6","Moore",2022,1.512144238,-2.11097501490984,3.62311925290984,-1.84211221856512,-4.37002279930437,-0.746903546394535,2.96863227394433,6.59175152685416,-3.26368336710711,0.359435885802732,3.68937640817936,7.3124956610892,-1.61856801950847,2.00455123340137,13.1056308977213,16.7287501506312,-4.01639773008139,-0.393278477171549,0.239726890134759,3.8628461430446,2.57629329003351,6.19941254294335,-1.84211221856512,1.78100703434472
"3","2.6","Moore",2023,3.887686471,0.239726890134759,3.64795958086524,-0.343258554921889,0.749127900364574,4.39708748122981,-3.99572417224089,-0.34776459137565,1.81181798339029,5.45977756425553,-0.343258554921889,3.30470102594335,-3.79700154859766,-0.149041967732423,-4.87958576310027,-1.23162618223503,2.96863227394433,6.61659185480957,1.72058357234569,5.36854315321093,-2.82938006566114,0.818579515204102,-0.343258554921889,3.30470102594335
"4","2.6","Moore",2024,7.362176317,3.68937640817936,3.67279990882064,3.0660562249632,-5.16321958614487,-1.49041967732423,3.68937640817936,7.362176317,-0.550169071259776,3.12263083756087,3.0660562249632,6.73885613378385,-3.94604351633009,-0.273243607509443,-3.32835764701108,0.344442261809566,-2.56931092341928,1.10348898540136,-0.5821888497435,3.09061105907714,-0.343258554921889,3.32954135389875,3.0660562249632,6.73885613378385
"5","2.6","Moore",2025,0.634269925,-3.06337031177605,3.69764023677605,-4.37002279930437,2.0041855990524,5.70182583582844,-3.08821063973145,0.609429597044597,-3.21490152918947,0.482738707586579,5.32167671929426,9.01931695607031,-2.37390407012598,1.32373616665006,0.611478135409171,4.30911837218522,-2.11097501490984,1.58666522186621,-4.4150997887881,-0.717459552012051,-2.91404518885841,0.783595047917639,-4.37002279930437,-0.672382562528328
"6","2.6","Moore",2026,0.634269925,-3.08821063973145,3.72248056473145,-2.83274355741245,0.239726890134759,3.96220745486621,-2.37390407012598,1.34857649460546,5.32167671929426,9.04415728402571,-3.06337031177605,0.659110252955402,-4.01639773008139,-0.293917165349939,-4.81545499476922,-1.09297443003777,5.73891882744693,9.46139939217838,-3.32835764701108,0.394122917720371,2.0041855990524,5.72666616378385,-2.83274355741245,0.889737007319002
"7","2.6","Moore",2027,4.2716143,0.524293407313142,3.74732089268686,0.524293407313142,-0.550169071259776,3.19715182142708,8.110975959097,11.8582968517839,-3.08821063973145,0.65911025295541,2.59931689631998,6.34663778900683,-2.56931092341928,1.17800996926758,-2.56931092341928,1.17800996926758,0.524293407313142,4.2716143,2.57629329003351,6.32361418272037,-2.8270360889922,0.920284803694659,0.524293407313142,4.2716143
"8","2.6","Moore",2028,9.092389653,5.32022843235774,3.77216122064226,5.32022843235774,-4.4150997887881,-0.642938568145836,5.32167671929426,9.09383793993652,-2.07147326172462,1.70068795891764,0.611478135409171,4.38363935605143,-2.83274355741245,0.939417663229814,-0.106171859374683,3.66598936126758,-2.37390407012598,1.39825715051628,-4.10391907369891,-0.331757853056649,1.67243363607128,5.44459485671354,5.32022843235774,9.092389653
"9","2.6","Moore",2029,0,-3.79700154859766,3.79700154859766,-3.32835764701108,3.73070696060644,7.5277085092041,-4.4150997887881,-0.618098240190434,-3.94604351633009,-0.149041967732423,-1.99971974743816,1.7972818011595,1.72058357234569,5.51758512094335,-1.99971974743816,1.7972818011595,-2.07112075746387,1.72588079113379,-2.07147326172462,1.72552828687304,-2.37390407012598,1.42309747847168,-3.32835764701108,0.468643901586586
"10","2.6","Moore",2030,9.560760704,5.73891882744693,3.82184187655307,1.72058357234569,-1.99971974743816,1.82212212911491,-0.550169071259776,3.27167280529329,-2.83385296948276,0.98798890707031,-2.91404518885841,0.907796687694659,2.01322979463215,5.83507167118522,-2.91404518885841,0.907796687694659,-2.83274355741245,0.989098319140619,-2.8270360889922,0.994805787560867,3.73070696060644,7.5525488371595,1.72058357234569,5.54242544889875
"11","2.6","Moore",2031,2.228114185,-1.61856801950847,3.84668220450847,-4.09508548406251,6.46298738798209,10.3096695924906,14.9480744547848,18.7947566592933,2.57629329003351,6.42297549454198,3.53358587982942,7.38026808433789,8.94355089638346,12.7902331008919,-2.52485253987729,1.32182966463118,-4.24412745179493,-0.397445247286463,-4.37002279930437,-0.523340594795905,-0.106171859374683,3.74051034513379,-4.09508548406251,-0.24840327955404
"12","2.6","Moore",2032,1.800401775,-2.07112075746387,3.87152253246387,2.48535438324967,3.68937640817936,7.56089894064323,-2.91404518885841,0.957477343605464,-3.06337031177605,0.808152220687825,2.57629329003351,6.44781582249738,7.33402562980371,11.2055481622676,-3.26368336710711,0.607839165356765,-0.106171859374683,3.76535067308919,-2.11097501490984,1.76054751755403,0.0570282651861911,3.92855079765006,2.48535438324967,6.35687691571354
