site_id,DHW16,DHW17,DHW20
MR_SS_1,14.9186,5.7687,10.1821
MR_S_1,14.7618,5.5548,10.0149
MR_S_2,14.3597,5.1666,9.7417
MR_S_3,14.2175,5.0525,9.6332
MR_S_4,14.3664,5.3529,9.8423
MR_S_5,15.6077,6.2678,10.5938
MR_S_6,15.0126,5.7886,10.1822
MR_S_7,14.6552,5.8071,10.2057
TR_BR_1,15.6323,7.4959,11.9906
TR_BR_2,15.4719,7.3382,11.7843
TR_BR_3,15.3017,7.0477,11.5177
TR_BR_4,15.1638,7.1657,11.4604
TR_BR_5,15.2725,7.5165,11.7075
TR_BR_6,15.1747,7.5694,11.684
TR_C_1,14.9043,6.5387,10.9051
TR_C_2,14.5857,6.2836,10.5141
TR_C_3,14.395,6.3404,10.3731
TR_C_4,14.4784,6.6389,10.5805
TR_C_5,14.8774,7.2902,11.281
TR_IF_1,14.6746,6.8609,10.8794
TR_IF_2,14.6857,6.4053,10.6579
TR_IF_3,15.0912,6.8877,11.2747
TR_IF_4,14.6179,6.47,10.6797
TR_IF_5,14.8814,7.2065,11.239
TR_IF_6,14.5656,6.5624,10.6375
TR_IF_7,14.8178,6.586,10.9034
TR_OF_1,14.9886,6.8253,11.1609
TR_OF_2,14.5484,6.6596,10.6669
TR_OF_3,14.9167,6.6195,10.9799
TR_OF_4,14.5388,6.3587,10.5071
TR_OF_5,15.232,7.3311,11.5836
TR_OF_6,14.938,7.3724,11.375
TR_OF_7,14.7361,7.0747,11.0436
TR_SS_1,15.2642,7.1394,11.5318
TR_SS_2,15.0794,7.4074,11.5089
TR_S_1,15.2001,7.6785,11.7642
TR_S_10,14.9919,6.5508,10.9827
TR_S_11,14.8584,7.3523,11.3088
TR_S_12,14.395,6.3404,10.3731
TR_S_13,15.3155,7.5934,11.7819
TR_S_14,14.6695,7.0738,10.9984
TR_S_2,14.4589,6.6313,10.5633
TR_S_3,15.4053,7.2391,11.6965
TR_S_4,15.101,6.7659,11.2074
TR_S_5,15.6151,7.4728,11.9706
TR_S_6,14.8084,6.4134,10.7419
TR_S_7,14.5547,6.282,10.4521
TR_S_8,15.2898,7.0327,11.5019
TR_S_9,15.723,7.706,12.1133
ER_BR_1,13.073,6.5593,9.7788
