Year,maxDHW,RCP,Reef
2074,6.588362749,6,Thetford
2075,14.81693706,6,Thetford
2076,8.018647087,6,Thetford
2077,4.786671801,6,Thetford
2078,14.98628518,6,Thetford
2079,13.34277554,6,Thetford
2080,16.68957313,6,Thetford
2081,16.31493682,6,Thetford
2082,19.09681868,6,Thetford
2083,17.95987812,6,Thetford
2084,10.21562659,6,Thetford
2085,19.32568152,6,Thetford
2086,9.606869643,6,Thetford
2087,21.26253102,6,Thetford
2088,13.48956626,6,Thetford
2089,17.30452579,6,Thetford
2090,15.50175856,6,Thetford
2091,17.93670329,6,Thetford
2092,12.3289269,6,Thetford
2093,12.15584444,6,Thetford
2094,7.594941931,6,Thetford
2095,26.38614346,6,Thetford
2096,23.12033813,6,Thetford
2097,14.03458047,6,Thetford
2098,19.32745982,6,Thetford
2099,7.918054042,6,Thetford
2021,0,8.5,Thetford
2022,2.219160559,8.5,Thetford
2023,2.466424805,8.5,Thetford
2024,0.151538153,8.5,Thetford
2025,0,8.5,Thetford
2026,1.629594377,8.5,Thetford
2027,12.09007479,8.5,Thetford
2028,1.705127096,8.5,Thetford
2029,11.39655685,8.5,Thetford
2030,9.957155736,8.5,Thetford
2031,1.657814351,8.5,Thetford
2032,9.026788779,8.5,Thetford
2033,6.363575238,8.5,Thetford
2034,8.306107616,8.5,Thetford
2035,1.977494589,8.5,Thetford
2036,4.541846187,8.5,Thetford
2037,12.13422962,8.5,Thetford
2038,11.95892627,8.5,Thetford
2039,0.301128481,8.5,Thetford
2040,1.321825031,8.5,Thetford
2041,1.485995154,8.5,Thetford
2042,13.81693336,8.5,Thetford
2043,13.19467869,8.5,Thetford
2044,11.43891548,8.5,Thetford
2045,2.711672064,8.5,Thetford
2046,13.31929304,8.5,Thetford
2047,10.85702242,8.5,Thetford
2048,14.96122912,8.5,Thetford
2049,20.07309965,8.5,Thetford
2050,3.340139565,8.5,Thetford
2051,8.50429022,8.5,Thetford
2052,19.86572367,8.5,Thetford
2053,26.11532916,8.5,Thetford
2054,19.59165821,8.5,Thetford
2055,16.82398287,8.5,Thetford
2056,14.9273071,8.5,Thetford
2057,21.34446829,8.5,Thetford
2058,15.58281493,8.5,Thetford
2059,23.26573259,8.5,Thetford
2060,16.10617312,8.5,Thetford
2061,10.36677588,8.5,Thetford
2062,19.10525098,8.5,Thetford
2063,23.31996684,8.5,Thetford
2064,26.43066285,8.5,Thetford
2065,20.37320721,8.5,Thetford
2066,5.734785837,8.5,Thetford
2067,19.09412908,8.5,Thetford
2068,22.99224845,8.5,Thetford
2069,25.59736711,8.5,Thetford
2070,29.18525663,8.5,Thetford
2071,26.303023,8.5,Thetford
2072,22.79039308,8.5,Thetford
2073,22.43500924,8.5,Thetford
2074,21.68091241,8.5,Thetford
2075,29.20607211,8.5,Thetford
2076,15.166399,8.5,Thetford
2077,24.84768016,8.5,Thetford
2078,30.00408685,8.5,Thetford
2079,26.13372032,8.5,Thetford
2080,23.27046634,8.5,Thetford
2081,29.76311909,8.5,Thetford
2082,27.36126736,8.5,Thetford
2083,27.67850491,8.5,Thetford
2084,21.97265585,8.5,Thetford
2085,33.21487128,8.5,Thetford
2086,30.40416599,8.5,Thetford
2087,26.20484051,8.5,Thetford
2088,16.62482407,8.5,Thetford
2089,30.71317634,8.5,Thetford
2090,30.25620825,8.5,Thetford
2091,21.98776949,8.5,Thetford
2092,32.72017912,8.5,Thetford
2093,27.61761895,8.5,Thetford
2094,34.00357434,8.5,Thetford
2095,33.5324183,8.5,Thetford
2096,31.23159286,8.5,Thetford
2097,25.78349002,8.5,Thetford
2098,35.63052736,8.5,Thetford
2099,40.26852941,8.5,Thetford
2021,0,2.6,Elford
2022,1.485650191,2.6,Elford
2023,3.836828979,2.6,Elford
2024,7.12078797,2.6,Elford
2025,0.621022902,2.6,Elford
2026,0.621022902,2.6,Elford
2027,4.081914072,2.6,Elford
2028,8.994147507,2.6,Elford
2029,0,2.6,Elford
2030,9.500590736,2.6,Elford
2031,2.205336011,2.6,Elford
2032,1.785009312,2.6,Elford
2033,1.316379508,2.6,Elford
2034,3.773825262,2.6,Elford
2035,0,2.6,Elford
2036,0,2.6,Elford
2037,0,2.6,Elford
2038,11.19553675,2.6,Elford
2039,0.30242996,2.6,Elford
2040,0.794866407,2.6,Elford
2041,0,2.6,Elford
2042,10.15587373,2.6,Elford
2043,1.022005456,2.6,Elford
2044,5.640629597,2.6,Elford
2045,0,2.6,Elford
2046,2.025224507,2.6,Elford
2047,0,2.6,Elford
2048,6.375854553,2.6,Elford
2049,9.362258611,2.6,Elford
2050,1.184499632,2.6,Elford
2051,12.85109673,2.6,Elford
2052,15.40707525,2.6,Elford
2053,12.25585802,2.6,Elford
2054,1.429917625,2.6,Elford
2055,2.419530157,2.6,Elford
2056,8.146351343,2.6,Elford
2057,0.324521793,2.6,Elford
2058,0.146157781,2.6,Elford
2059,3.816857874,2.6,Elford
2060,19.34448179,2.6,Elford
2061,7.901154453,2.6,Elford
2062,2.069643288,2.6,Elford
2063,0.615818662,2.6,Elford
2064,7.669318152,2.6,Elford
2065,1.851121999,2.6,Elford
2066,6.483782173,2.6,Elford
2067,12.54765071,2.6,Elford
2068,1.681397952,2.6,Elford
2069,4.666325635,2.6,Elford
2070,0,2.6,Elford
2071,2.460061481,2.6,Elford
2072,7.275850454,2.6,Elford
2073,5.593927157,2.6,Elford
2074,5.149804261,2.6,Elford
2075,3.776261488,2.6,Elford
2076,0.768220896,2.6,Elford
2077,1.606932343,2.6,Elford
2078,2.013227855,2.6,Elford
2079,6.855809057,2.6,Elford
2080,2.994634613,2.6,Elford
2081,18.01131587,2.6,Elford
2082,13.71059162,2.6,Elford
2083,1.618489053,2.6,Elford
2084,0,2.6,Elford
2085,0.303795998,2.6,Elford
2086,8.119232878,2.6,Elford
2087,1.741605721,2.6,Elford
2088,7.747167222,2.6,Elford
2089,4.901408787,2.6,Elford
2090,2.625529596,2.6,Elford
2091,5.934508615,2.6,Elford
2092,0.939699547,2.6,Elford
2093,4.604419126,2.6,Elford
2094,1.154914981,2.6,Elford
2095,6.915068975,2.6,Elford
2096,6.748219458,2.6,Elford
2097,3.475755231,2.6,Elford
2098,3.214009154,2.6,Elford
2099,5.115373044,2.6,Elford
2021,0.770892669,4.5,Elford
2022,8.5303466,4.5,Elford
2023,0,4.5,Elford
2024,0.144172395,4.5,Elford
2025,0.625640369,4.5,Elford
2026,0.145652061,4.5,Elford
2027,0,4.5,Elford
2028,2.067485135,4.5,Elford
2029,1.629028536,4.5,Elford
2030,4.038527083,4.5,Elford
2031,5.817681055,4.5,Elford
2032,3.929127686,4.5,Elford
2033,12.31638265,4.5,Elford
2034,0,4.5,Elford
2035,0.144292582,4.5,Elford
2036,10.29150853,4.5,Elford
2037,13.14161783,4.5,Elford
2038,0,4.5,Elford
2039,9.905328608,4.5,Elford
2040,0.486668447,4.5,Elford
2041,6.273667011,4.5,Elford
2042,0,4.5,Elford
2043,3.203529765,4.5,Elford
2044,4.986573787,4.5,Elford
2045,1.565875406,4.5,Elford
2046,2.335412113,4.5,Elford
2047,2.51705842,4.5,Elford
2048,0,4.5,Elford
2049,6.079754354,4.5,Elford
2050,3.899262329,4.5,Elford
2051,4.497611289,4.5,Elford
2052,13.01579728,4.5,Elford
2053,10.63425825,4.5,Elford
2054,2.622855337,4.5,Elford
2055,5.84438926,4.5,Elford
2056,6.522971613,4.5,Elford
2057,3.452977303,4.5,Elford
2058,6.26156328,4.5,Elford
2059,9.263163079,4.5,Elford
2060,1.895425995,4.5,Elford
2061,9.363090758,4.5,Elford
2062,2.984113405,4.5,Elford
2063,4.200179195,4.5,Elford
2064,13.5111204,4.5,Elford
2065,3.544832467,4.5,Elford
2066,9.927955041,4.5,Elford
2067,4.709146263,4.5,Elford
2068,7.750494973,4.5,Elford
2069,9.460807859,4.5,Elford
2070,2.921075175,4.5,Elford
2071,20.42103307,4.5,Elford
2072,9.858778857,4.5,Elford
2073,4.247595627,4.5,Elford
2074,17.71510998,4.5,Elford
2075,24.45548453,4.5,Elford
2076,9.513414856,4.5,Elford
2077,13.9214828,4.5,Elford
2078,9.549188683,4.5,Elford
2079,8.335039081,4.5,Elford
2080,11.1596312,4.5,Elford
2081,22.57204796,4.5,Elford
2082,6.794168701,4.5,Elford
2083,18.49989404,4.5,Elford
2084,6.18614944,4.5,Elford
2085,25.9365075,4.5,Elford
2086,18.48277417,4.5,Elford
2087,21.2674081,4.5,Elford
2088,7.639645502,4.5,Elford
2089,18.6970184,4.5,Elford
2090,20.43408595,4.5,Elford
2091,4.75433877,4.5,Elford
2092,20.81773693,4.5,Elford
2093,9.338436953,4.5,Elford
2094,25.59140355,4.5,Elford
2095,16.98281157,4.5,Elford
2096,10.76308579,4.5,Elford
2097,9.027527017,4.5,Elford
2098,1.255506431,4.5,Elford
2099,10.72474425,4.5,Elford
2021,0.604929674,6,Elford
2022,1.528155947,6,Elford
2023,0.145825022,6,Elford
2024,2.966123234,6,Elford
2025,0,6,Elford
2026,1.070329139,6,Elford
2027,12.47437867,6,Elford
2028,3.634397292,6,Elford
2029,0.29751663,6,Elford
2030,3.879645297,6,Elford
2031,0.146899656,6,Elford
2032,1.699528109,6,Elford
2033,0,6,Elford
2034,0,6,Elford
2035,0.693160352,6,Elford
2036,0,6,Elford
2037,0,6,Elford
2038,0.745713366,6,Elford
2039,6.82246729,6,Elford
2040,0.302988868,6,Elford
2041,14.55159767,6,Elford
2042,10.86163367,6,Elford
2043,6.867772192,6,Elford
2044,3.599247563,6,Elford
2045,11.77709083,6,Elford
2046,0.456452557,6,Elford
2047,0.314572469,6,Elford
2048,7.129747156,6,Elford
2049,0.449784485,6,Elford
2050,2.379374078,6,Elford
2051,1.706994473,6,Elford
2052,6.49800189,6,Elford
2053,3.932765207,6,Elford
2054,0.606979445,6,Elford
2055,0,6,Elford
2056,2.36336741,6,Elford
2057,4.218786141,6,Elford
2058,10.71625753,6,Elford
2059,17.95395581,6,Elford
2060,15.92140131,6,Elford
2061,7.013476238,6,Elford
2062,5.67890148,6,Elford
2063,12.14548737,6,Elford
2064,2.179671139,6,Elford
2065,12.64358426,6,Elford
2066,13.68714256,6,Elford
2067,14.06985151,6,Elford
2068,4.418176884,6,Elford
2069,0.1530616,6,Elford
2070,1.004058226,6,Elford
2071,4.885939166,6,Elford
2072,11.35292777,6,Elford
2073,16.16237299,6,Elford
2074,6.403609666,6,Elford
2075,14.36160834,6,Elford
2076,7.905847571,6,Elford
2077,4.438896275,6,Elford
2078,14.3749001,6,Elford
2079,13.22375716,6,Elford
2080,16.51902143,6,Elford
2081,16.10198705,6,Elford
2082,18.91277567,6,Elford
2083,17.76752406,6,Elford
2084,9.668569155,6,Elford
2085,18.99617989,6,Elford
2086,9.480961837,6,Elford
2087,21.05713088,6,Elford
2088,12.9449064,6,Elford
2089,17.11558497,6,Elford
2090,15.36420661,6,Elford
2091,17.61263099,6,Elford
2092,11.6239925,6,Elford
2093,11.41114947,6,Elford
2094,7.453892008,6,Elford
2095,26.1630952,6,Elford
2096,22.91045643,6,Elford
2097,13.67401976,6,Elford
2098,19.1079114,6,Elford
2099,7.342694154,6,Elford
2021,0,8.5,Elford
2022,2.18759381,8.5,Elford
2023,2.151246473,8.5,Elford
2024,0.150234058,8.5,Elford
2025,0,8.5,Elford
2026,1.466973341,8.5,Elford
2027,11.96022329,8.5,Elford
2028,1.378502974,8.5,Elford
2029,10.97569216,8.5,Elford
2030,9.722463114,8.5,Elford
2031,1.642946713,8.5,Elford
2032,8.766723835,8.5,Elford
2033,6.289748752,8.5,Elford
2034,8.216794153,8.5,Elford
2035,1.818778106,8.5,Elford
2036,4.341123939,8.5,Elford
2037,11.85679266,8.5,Elford
2038,11.65701345,8.5,Elford
2039,0.292233601,8.5,Elford
2040,1.305105582,8.5,Elford
2041,1.466951542,8.5,Elford
2042,13.70692335,8.5,Elford
2043,13.03116237,8.5,Elford
2044,10.44173624,8.5,Elford
2045,2.626244564,8.5,Elford
2046,13.17170211,8.5,Elford
2047,10.02464715,8.5,Elford
2048,14.816805,8.5,Elford
2049,19.8720741,8.5,Elford
2050,2.998111936,8.5,Elford
2051,8.259298554,8.5,Elford
2052,19.64662538,8.5,Elford
2053,25.90676412,8.5,Elford
2054,19.25679321,8.5,Elford
2055,16.56625193,8.5,Elford
2056,14.60778152,8.5,Elford
2057,21.14035437,8.5,Elford
2058,15.30322561,8.5,Elford
2059,23.05585089,8.5,Elford
2060,15.6677561,8.5,Elford
2061,9.964643155,8.5,Elford
2062,18.88075566,8.5,Elford
2063,23.11316872,8.5,Elford
2064,26.20103132,8.5,Elford
2065,19.74985107,8.5,Elford
2066,4.949258298,8.5,Elford
2067,18.89414916,8.5,Elford
2068,22.6292509,8.5,Elford
2069,25.38748541,8.5,Elford
2070,28.9701083,8.5,Elford
2071,26.10019528,8.5,Elford
2072,22.52633917,8.5,Elford
2073,22.22512754,8.5,Elford
2074,21.18443255,8.5,Elford
2075,29.00277369,8.5,Elford
2076,14.30433703,8.5,Elford
2077,24.64629418,8.5,Elford
2078,29.7961143,8.5,Elford
2079,25.91462203,8.5,Elford
2080,23.05663467,8.5,Elford
2081,29.56029137,8.5,Elford
2082,27.15928559,8.5,Elford
2083,27.46993987,8.5,Elford
2084,21.62379355,8.5,Elford
2085,32.95992044,8.5,Elford
2086,30.17980108,8.5,Elford
2087,26.00478314,8.5,Elford
2088,16.29943885,8.5,Elford
2089,30.50263138,8.5,Elford
2090,30.05374097,8.5,Elford
2091,21.77657114,8.5,Elford
2092,32.51293073,8.5,Elford
2093,27.37146406,8.5,Elford
2094,33.77373625,8.5,Elford
2095,33.32315955,8.5,Elford
2096,31.02948601,8.5,Elford
2097,25.57624163,8.5,Elford
2098,35.42842051,8.5,Elford
2099,40.04254995,8.5,Elford
2021,0,2.6,Briggs
2022,1.485650191,2.6,Briggs
2023,3.836828979,2.6,Briggs
2024,7.12078797,2.6,Briggs
2025,0.621022902,2.6,Briggs
2026,0.621022902,2.6,Briggs
2027,4.081914072,2.6,Briggs
2028,8.994147507,2.6,Briggs
2029,0,2.6,Briggs
2030,9.500590736,2.6,Briggs
2031,2.205336011,2.6,Briggs
2032,1.785009312,2.6,Briggs
2033,1.316379508,2.6,Briggs
2034,3.773825262,2.6,Briggs
2035,0,2.6,Briggs
2036,0,2.6,Briggs
2037,0,2.6,Briggs
2038,11.19553675,2.6,Briggs
2039,0.30242996,2.6,Briggs
2040,0.794866407,2.6,Briggs
2041,0,2.6,Briggs
2042,10.15587373,2.6,Briggs
2043,1.022005456,2.6,Briggs
2044,5.640629597,2.6,Briggs
2045,0,2.6,Briggs
2046,2.025224507,2.6,Briggs
2047,0,2.6,Briggs
2048,6.375854553,2.6,Briggs
2049,9.362258611,2.6,Briggs
2050,1.184499632,2.6,Briggs
2051,12.85109673,2.6,Briggs
2052,15.40707525,2.6,Briggs
2053,12.25585802,2.6,Briggs
2054,1.429917625,2.6,Briggs
2055,2.419530157,2.6,Briggs
2056,8.146351343,2.6,Briggs
2057,0.324521793,2.6,Briggs
2058,0.146157781,2.6,Briggs
2059,3.816857874,2.6,Briggs
2060,19.34448179,2.6,Briggs
2061,7.901154453,2.6,Briggs
2062,2.069643288,2.6,Briggs
2063,0.615818662,2.6,Briggs
2064,7.669318152,2.6,Briggs
2065,1.851121999,2.6,Briggs
2066,6.483782173,2.6,Briggs
2067,12.54765071,2.6,Briggs
2068,1.681397952,2.6,Briggs
2069,4.666325635,2.6,Briggs
2070,0,2.6,Briggs
2071,2.460061481,2.6,Briggs
2072,7.275850454,2.6,Briggs
2073,5.593927157,2.6,Briggs
2074,5.149804261,2.6,Briggs
2075,3.776261488,2.6,Briggs
2076,0.768220896,2.6,Briggs
2077,1.606932343,2.6,Briggs
2078,2.013227855,2.6,Briggs
2079,6.855809057,2.6,Briggs
2080,2.994634613,2.6,Briggs
2081,18.01131587,2.6,Briggs
2082,13.71059162,2.6,Briggs
2083,1.618489053,2.6,Briggs
2084,0,2.6,Briggs
2085,0.303795998,2.6,Briggs
2086,8.119232878,2.6,Briggs
2087,1.741605721,2.6,Briggs
2088,7.747167222,2.6,Briggs
2089,4.901408787,2.6,Briggs
2090,2.625529596,2.6,Briggs
2091,5.934508615,2.6,Briggs
2092,0.939699547,2.6,Briggs
2093,4.604419126,2.6,Briggs
2094,1.154914981,2.6,Briggs
2095,6.915068975,2.6,Briggs
2096,6.748219458,2.6,Briggs
2097,3.475755231,2.6,Briggs
2098,3.214009154,2.6,Briggs
2099,5.115373044,2.6,Briggs
2021,0.770892669,4.5,Briggs
2022,8.5303466,4.5,Briggs
2023,0,4.5,Briggs
2024,0.144172395,4.5,Briggs
2025,0.625640369,4.5,Briggs
2026,0.145652061,4.5,Briggs
2027,0,4.5,Briggs
2028,2.067485135,4.5,Briggs
2029,1.629028536,4.5,Briggs
2030,4.038527083,4.5,Briggs
2031,5.817681055,4.5,Briggs
2032,3.929127686,4.5,Briggs
2033,12.31638265,4.5,Briggs
2034,0,4.5,Briggs
2035,0.144292582,4.5,Briggs
2036,10.29150853,4.5,Briggs
2037,13.14161783,4.5,Briggs
2038,0,4.5,Briggs
2039,9.905328608,4.5,Briggs
2040,0.486668447,4.5,Briggs
2041,6.273667011,4.5,Briggs
2042,0,4.5,Briggs
2043,3.203529765,4.5,Briggs
2044,4.986573787,4.5,Briggs
2045,1.565875406,4.5,Briggs
2046,2.335412113,4.5,Briggs
2047,2.51705842,4.5,Briggs
2048,0,4.5,Briggs
2049,6.079754354,4.5,Briggs
2050,3.899262329,4.5,Briggs
2051,4.497611289,4.5,Briggs
2052,13.01579728,4.5,Briggs
2053,10.63425825,4.5,Briggs
2054,2.622855337,4.5,Briggs
2055,5.84438926,4.5,Briggs
2056,6.522971613,4.5,Briggs
2057,3.452977303,4.5,Briggs
2058,6.26156328,4.5,Briggs
2059,9.263163079,4.5,Briggs
2060,1.895425995,4.5,Briggs
2061,9.363090758,4.5,Briggs
2062,2.984113405,4.5,Briggs
2063,4.200179195,4.5,Briggs
2064,13.5111204,4.5,Briggs
2065,3.544832467,4.5,Briggs
2066,9.927955041,4.5,Briggs
2067,4.709146263,4.5,Briggs
2068,7.750494973,4.5,Briggs
2069,9.460807859,4.5,Briggs
2070,2.921075175,4.5,Briggs
2071,20.42103307,4.5,Briggs
2072,9.858778857,4.5,Briggs
2073,4.247595627,4.5,Briggs
2074,17.71510998,4.5,Briggs
2075,24.45548453,4.5,Briggs
2076,9.513414856,4.5,Briggs
2077,13.9214828,4.5,Briggs
2078,9.549188683,4.5,Briggs
2079,8.335039081,4.5,Briggs
2080,11.1596312,4.5,Briggs
2081,22.57204796,4.5,Briggs
2082,6.794168701,4.5,Briggs
2083,18.49989404,4.5,Briggs
2084,6.18614944,4.5,Briggs
2085,25.9365075,4.5,Briggs
2086,18.48277417,4.5,Briggs
2087,21.2674081,4.5,Briggs
2088,7.639645502,4.5,Briggs
2089,18.6970184,4.5,Briggs
2090,20.43408595,4.5,Briggs
2091,4.75433877,4.5,Briggs
2092,20.81773693,4.5,Briggs
2093,9.338436953,4.5,Briggs
2094,25.59140355,4.5,Briggs
2095,16.98281157,4.5,Briggs
2096,10.76308579,4.5,Briggs
2097,9.027527017,4.5,Briggs
2098,1.255506431,4.5,Briggs
2099,10.72474425,4.5,Briggs
2021,0.604929674,6,Briggs
2022,1.528155947,6,Briggs
2023,0.145825022,6,Briggs
2024,2.966123234,6,Briggs
2025,0,6,Briggs
2026,1.070329139,6,Briggs
2027,12.47437867,6,Briggs
2028,3.634397292,6,Briggs
2029,0.29751663,6,Briggs
2030,3.879645297,6,Briggs
2031,0.146899656,6,Briggs
2032,1.699528109,6,Briggs
2033,0,6,Briggs
2034,0,6,Briggs
2035,0.693160352,6,Briggs
2036,0,6,Briggs
2037,0,6,Briggs
2038,0.745713366,6,Briggs
2039,6.82246729,6,Briggs
2040,0.302988868,6,Briggs
2041,14.55159767,6,Briggs
2042,10.86163367,6,Briggs
2043,6.867772192,6,Briggs
2044,3.599247563,6,Briggs
2045,11.77709083,6,Briggs
2046,0.456452557,6,Briggs
2047,0.314572469,6,Briggs
2048,7.129747156,6,Briggs
2049,0.449784485,6,Briggs
2050,2.379374078,6,Briggs
2051,1.706994473,6,Briggs
2052,6.49800189,6,Briggs
2053,3.932765207,6,Briggs
2054,0.606979445,6,Briggs
2055,0,6,Briggs
2056,2.36336741,6,Briggs
2057,4.218786141,6,Briggs
2058,10.71625753,6,Briggs
2059,17.95395581,6,Briggs
2060,15.92140131,6,Briggs
2061,7.013476238,6,Briggs
2062,5.67890148,6,Briggs
2063,12.14548737,6,Briggs
2064,2.179671139,6,Briggs
2065,12.64358426,6,Briggs
2066,13.68714256,6,Briggs
2067,14.06985151,6,Briggs
2068,4.418176884,6,Briggs
2069,0.1530616,6,Briggs
2070,1.004058226,6,Briggs
2071,4.885939166,6,Briggs
2072,11.35292777,6,Briggs
2073,16.16237299,6,Briggs
2074,6.403609666,6,Briggs
2075,14.36160834,6,Briggs
2076,7.905847571,6,Briggs
2077,4.438896275,6,Briggs
2078,14.3749001,6,Briggs
2079,13.22375716,6,Briggs
2080,16.51902143,6,Briggs
2081,16.10198705,6,Briggs
2082,18.91277567,6,Briggs
2083,17.76752406,6,Briggs
2084,9.668569155,6,Briggs
2085,18.99617989,6,Briggs
2086,9.480961837,6,Briggs
2087,21.05713088,6,Briggs
2088,12.9449064,6,Briggs
2089,17.11558497,6,Briggs
2090,15.36420661,6,Briggs
2091,17.61263099,6,Briggs
2092,11.6239925,6,Briggs
2093,11.41114947,6,Briggs
2094,7.453892008,6,Briggs
2095,26.1630952,6,Briggs
2096,22.91045643,6,Briggs
2097,13.67401976,6,Briggs
2098,19.1079114,6,Briggs
2099,7.342694154,6,Briggs
2021,0,8.5,Briggs
2022,2.18759381,8.5,Briggs
2023,2.151246473,8.5,Briggs
2024,0.150234058,8.5,Briggs
2025,0,8.5,Briggs
2026,1.466973341,8.5,Briggs
2027,11.96022329,8.5,Briggs
2028,1.378502974,8.5,Briggs
2029,10.97569216,8.5,Briggs
2030,9.722463114,8.5,Briggs
2031,1.642946713,8.5,Briggs
2032,8.766723835,8.5,Briggs
2033,6.289748752,8.5,Briggs
2034,8.216794153,8.5,Briggs
2035,1.818778106,8.5,Briggs
2036,4.341123939,8.5,Briggs
2037,11.85679266,8.5,Briggs
2038,11.65701345,8.5,Briggs
2039,0.292233601,8.5,Briggs
2040,1.305105582,8.5,Briggs
2041,1.466951542,8.5,Briggs
2042,13.70692335,8.5,Briggs
2043,13.03116237,8.5,Briggs
2044,10.44173624,8.5,Briggs
2045,2.626244564,8.5,Briggs
2046,13.17170211,8.5,Briggs
2047,10.02464715,8.5,Briggs
2048,14.816805,8.5,Briggs
2049,19.8720741,8.5,Briggs
2050,2.998111936,8.5,Briggs
2051,8.259298554,8.5,Briggs
2052,19.64662538,8.5,Briggs
2053,25.90676412,8.5,Briggs
2054,19.25679321,8.5,Briggs
2055,16.56625193,8.5,Briggs
2056,14.60778152,8.5,Briggs
2057,21.14035437,8.5,Briggs
2058,15.30322561,8.5,Briggs
2059,23.05585089,8.5,Briggs
2060,15.6677561,8.5,Briggs
2061,9.964643155,8.5,Briggs
2062,18.88075566,8.5,Briggs
2063,23.11316872,8.5,Briggs
2064,26.20103132,8.5,Briggs
2065,19.74985107,8.5,Briggs
2066,4.949258298,8.5,Briggs
2067,18.89414916,8.5,Briggs
2068,22.6292509,8.5,Briggs
2069,25.38748541,8.5,Briggs
2070,28.9701083,8.5,Briggs
2071,26.10019528,8.5,Briggs
2072,22.52633917,8.5,Briggs
2073,22.22512754,8.5,Briggs
2074,21.18443255,8.5,Briggs
2075,29.00277369,8.5,Briggs
2076,14.30433703,8.5,Briggs
2077,24.64629418,8.5,Briggs
2078,29.7961143,8.5,Briggs
2079,25.91462203,8.5,Briggs
2080,23.05663467,8.5,Briggs
2081,29.56029137,8.5,Briggs
2082,27.15928559,8.5,Briggs
2083,27.46993987,8.5,Briggs
2084,21.62379355,8.5,Briggs
2085,32.95992044,8.5,Briggs
2086,30.17980108,8.5,Briggs
2087,26.00478314,8.5,Briggs
2088,16.29943885,8.5,Briggs
2089,30.50263138,8.5,Briggs
2090,30.05374097,8.5,Briggs
2091,21.77657114,8.5,Briggs
2092,32.51293073,8.5,Briggs
2093,27.37146406,8.5,Briggs
2094,33.77373625,8.5,Briggs
2095,33.32315955,8.5,Briggs
2096,31.02948601,8.5,Briggs
2097,25.57624163,8.5,Briggs
2098,35.42842051,8.5,Briggs
2099,40.04254995,8.5,Briggs
