"source_site","receiving_site","transfer_probability"
"BP_BR_1","BP_BR_1",0.0638341420350184
"BP_BR_1","BP_BR_2",0.0642285456784305
"BP_BR_1","BP_BR_3",0.00136067992361818
"BP_BR_1","BP_SS_2",0.0273869458143207
"BP_BR_1","HR_BR_1",0.000278744389963818
"BP_BR_1","HR_BR_2",7.86501553411738e-05
"BP_BR_1","HR_BR_3",0.000190094756022996
"BP_BR_1","HR_BR_4",0.000179383887522022
"BP_BR_1","HR_BR_5",0.000114311860578922
"BP_BR_1","HR_BR_6",0.000174420048593654
"BP_BR_1","HR_BR_7",0.000537882392795211
"BP_BR_1","HR_BR_8",0.000311830255670108
"BP_BR_1","HR_C_1",9.99652354193743e-05
"BP_BR_1","HR_C_2",0.000154169650186283
"BP_BR_1","HR_C_3",5.58349978477734e-05
"BP_BR_1","HR_C_4",0.00024881184836326
"BP_BR_1","HR_C_5",0.000117474419886727
"BP_BR_1","HR_C_6",0.000268076891567798
"BP_BR_1","HR_C_7",0.000165985179797137
"BP_BR_1","HR_C_8",0.0001156106930797
"BP_BR_1","HR_IF_1",4.71963446731689e-05
"BP_BR_1","HR_IF_2",3.46718442938237e-05
"BP_BR_1","HR_IF_3",6.47645012288687e-05
"BP_BR_1","HR_IF_4",0.000128238130787219
"BP_BR_1","HR_IF_5",6.29990723937849e-05
"BP_BR_1","HR_IF_6",3.76539634521298e-05
"BP_BR_1","HR_IF_7",7.63934441204502e-05
"BP_BR_1","HR_IF_8",0.000135783075274312
"BP_BR_1","HR_IF_9",8.6103421006357e-05
"BP_BR_1","HR_OF_1",4.46393391068088e-05
"BP_BR_1","HR_OF_2",0.000145079402954728
"BP_BR_1","HR_OF_3",9.3856794569881e-05
"BP_BR_1","HR_OF_4",0.000216891884211024
"BP_BR_1","HR_OF_5",0.000132357411440294
"BP_BR_1","HR_OF_9",0.000100235873982046
"BP_BR_1","HR_S_10",0.000256231500781422
"BP_BR_1","HR_S_11",0.000244627511002725
"BP_BR_1","HR_S_13",0.000743426256685114
"BP_BR_1","HR_S_14",0.000207665036962526
"BP_BR_1","HR_S_15",0.000260490837832777
"BP_BR_1","HR_S_2",0.000443989351107661
"BP_BR_1","HR_S_3",0.00049443827672534
"BP_BR_1","HR_S_4",0.000352540304421285
"BP_BR_1","HR_S_5",0.000290959445649414
"BP_BR_1","HR_S_6",0.000464082043533897
"BP_BR_1","HR_S_7",0.00044464978484612
"BP_BR_1","HR_S_8",0.000602199257966641
"BP_BR_1","HR_S_9",0.000241491178918899
"BP_BR_1","HR_SS_1",0.000207513803968494
"BP_BR_1","HR_SS_2",0.000271325918506757
"BP_BR_1","JP_BR_1",0.000495114975602484
"BP_BR_1","JP_S_1",0.000484599766961018
"BP_BR_1","MR_BR_1",0.000520893842127368
"BP_BR_1","MR_BR_10",0.00238205058876627
"BP_BR_1","MR_BR_11",0.0030397037476267
"BP_BR_1","MR_BR_12",0.0020049979662962
"BP_BR_1","MR_BR_13",0.00147979436037346
"BP_BR_1","MR_BR_14",0.00333175213066967
"BP_BR_1","MR_BR_15",0.00221090572949287
"BP_BR_1","MR_BR_16",0.00176840378594338
"BP_BR_1","MR_BR_17",0.00286392718280181
"BP_BR_1","MR_BR_18",0.00355273565689251
"BP_BR_1","MR_BR_2",0.000897569571522381
"BP_BR_1","MR_BR_3",0.000440400804160035
"BP_BR_1","MR_BR_4",0.00071759596348214
"BP_BR_1","MR_BR_5",0.00120738273205188
"BP_BR_1","MR_BR_6",0.00188172782376954
"BP_BR_1","MR_BR_7",0.00209205032622639
"BP_BR_1","MR_BR_8",0.000514125466800656
"BP_BR_1","MR_BR_9",0.00326561421539428
"BP_BR_1","MR_C_1",0.000790401493474555
"BP_BR_1","MR_C_10",0.000778882569614053
"BP_BR_1","MR_C_11",0.000814409268164979
"BP_BR_1","MR_C_12",0.00223040236581396
"BP_BR_1","MR_C_13",0.000592138343233402
"BP_BR_1","MR_C_14",0.000825590714081567
"BP_BR_1","MR_C_15",0.000648128789490729
"BP_BR_1","MR_C_16",0.000282821419340702
"BP_BR_1","MR_C_2",0.000110047180001224
"BP_BR_1","MR_C_3",0.000928557487470685
"BP_BR_1","MR_C_4",0.000585263046071693
"BP_BR_1","MR_C_5",0.000828278806386361
"BP_BR_1","MR_C_6",0.000447068653733161
"BP_BR_1","MR_C_7",0.000952648753112946
"BP_BR_1","MR_C_8",0.000876606986779485
"BP_BR_1","MR_C_9",0.000356627070665442
"BP_BR_1","MR_IF_1",0.000146742346121715
"BP_BR_1","MR_IF_10",6.77837064242822e-05
"BP_BR_1","MR_IF_11",0.000368272496259702
"BP_BR_1","MR_IF_12",0.00117353547891216
"BP_BR_1","MR_IF_13",0.000124489886733828
"BP_BR_1","MR_IF_14",0.000244892339275859
"BP_BR_1","MR_IF_15",0.000105709044687898
"BP_BR_1","MR_IF_16",0.000204501113583846
"BP_BR_1","MR_IF_17",0.000759555140523429
"BP_BR_1","MR_IF_18",0.00067740744193818
"BP_BR_1","MR_IF_19",0.00014782801069207
"BP_BR_1","MR_IF_2",0.000141976531791642
"BP_BR_1","MR_IF_20",0.000181183156063331
"BP_BR_1","MR_IF_21",0.000309798046203987
"BP_BR_1","MR_IF_22",0.000112567858657308
"BP_BR_1","MR_IF_23",0.000371126356254516
"BP_BR_1","MR_IF_24",0.000146347633267798
"BP_BR_1","MR_IF_25",0.000170281189625074
"BP_BR_1","MR_IF_26",0.000892832097597815
"BP_BR_1","MR_IF_27",7.63499432535526e-05
"BP_BR_1","MR_IF_28",0.000151578383982632
"BP_BR_1","MR_IF_29",0.000497724205389427
"BP_BR_1","MR_IF_3",0.000114268129062585
"BP_BR_1","MR_IF_30",0.00125659210949388
"BP_BR_1","MR_IF_31",0.00063105869041935
"BP_BR_1","MR_IF_32",0.000157405595776258
"BP_BR_1","MR_IF_33",0.000285265312874705
"BP_BR_1","MR_IF_4",0.0001102603048021
"BP_BR_1","MR_IF_5",6.37770459040575e-05
"BP_BR_1","MR_IF_6",0.000137626921574832
"BP_BR_1","MR_IF_7",0.000243634288963695
"BP_BR_1","MR_IF_8",0.000438838710119363
"BP_BR_1","MR_IF_9",0.000460886002228461
"BP_BR_1","MR_OF_1",0.000177875417674648
"BP_BR_1","MR_OF_10",0.00035669994058013
"BP_BR_1","MR_OF_2",0.000889563868154076
"BP_BR_1","MR_OF_6",0.0019145342389876
"BP_BR_1","MR_OF_7",0.000768983598238147
"BP_BR_1","MR_OF_8",0.000874515190056241
"BP_BR_1","MR_OF_9",0.00145339663281337
"BP_BR_1","MR_S_1",0.00321228313946715
"BP_BR_1","MR_S_11",0.0027691142910441
"BP_BR_1","MR_S_12",0.00117294672097387
"BP_BR_1","MR_S_13",0.000934956125695581
"BP_BR_1","MR_S_14",0.00301103324409327
"BP_BR_1","MR_S_15",0.00250239738953247
"BP_BR_1","MR_S_16",0.00204281019439844
"BP_BR_1","MR_S_2",0.0041720499147673
"BP_BR_1","MR_S_20",0.00235706199061807
"BP_BR_1","MR_S_22",0.00192004152428241
"BP_BR_1","MR_S_23",0.00183594118736766
"BP_BR_1","MR_S_24",0.0010211748955482
"BP_BR_1","MR_S_26",0.00267745452829015
"BP_BR_1","MR_S_27",0.0013558294096908
"BP_BR_1","MR_S_28",0.00183157322963345
"BP_BR_1","MR_S_4",0.00210579680593941
"BP_BR_1","MR_S_5",0.000890272553281369
"BP_BR_1","MR_S_6",0.00371922743008077
"BP_BR_1","MR_S_7",0.0019628915012387
"BP_BR_1","MR_S_8",0.0015538537438747
"BP_BR_1","MR_S_9",0.00112228929740672
"BP_BR_1","MR_SS_10",0.00295953863200176
"BP_BR_1","MR_SS_11",0.00298364367662917
"BP_BR_1","MR_SS_13",0.0013305792788534
"BP_BR_1","MR_SS_14",0.000629145865119595
"BP_BR_1","MR_SS_15",0.00135497402435508
"BP_BR_1","MR_SS_16",0.000915106431364913
"BP_BR_1","MR_SS_4",0.00190533456919938
"BP_BR_1","MR_SS_5",0.00173600577083303
"BP_BR_1","MR_SS_7",0.00140434108152232
"BP_BR_1","MR_SS_8",0.000720601125421189
"BP_BR_1","MR_SS_9",0.000401433110117742
"BP_BR_1","NR_BR_1",1.38846090995712e-05
"BP_BR_1","NR_BR_2",2.8982934282512e-05
"BP_BR_1","NR_BR_3",4.38141048514746e-05
"BP_BR_1","NR_BR_4",3.62565631112616e-05
"BP_BR_1","NR_C_1",3.00144603683231e-05
"BP_BR_1","NR_C_2",3.28579347150399e-06
"BP_BR_1","NR_C_3",4.44697608176515e-05
"BP_BR_1","NR_C_4",6.19404123459243e-06
"BP_BR_1","NR_C_5",1.24344475461173e-05
"BP_BR_1","NR_IF_1",2.95855728688193e-06
"BP_BR_1","NR_IF_2",6.09136693566243e-06
"BP_BR_1","NR_IF_3",4.74920189176127e-06
"BP_BR_1","NR_OF_1",6.9000537364423e-06
"BP_BR_1","NR_OF_2",1.1934700375389e-05
"BP_BR_1","NR_OF_3",2.94163912195841e-05
"BP_BR_1","NR_OF_4",3.15981697799179e-06
"BP_BR_1","NR_OF_6",1.74438492626121e-05
"BP_BR_1","NR_OF_7",2.24889510744621e-05
"BP_BR_1","NR_S_1",2.33399337599819e-05
"BP_BR_1","NR_S_2",2.90087811517109e-05
"BP_BR_1","NR_S_3",2.0243558130716e-05
"BP_BR_1","NR_S_5",5.35396414364305e-05
"BP_BR_1","NR_S_6",4.18708967554952e-05
"BP_BR_1","NR_S_7",2.89256296932035e-05
"BP_BR_1","OR_BR_1",0.00042617013217475
"BP_BR_1","SR_BR_1",4.98699366937724e-05
"BP_BR_1","SR_BR_2",0.000145993429937965
"BP_BR_1","SR_C_1",7.61540722108686e-05
"BP_BR_1","SR_C_2",8.34037989461093e-05
"BP_BR_1","SR_C_3",0.000172001852587939
"BP_BR_1","SR_OF_1",5.16536176498949e-05
