"source_site","receiving_site","transfer_probability"
"BP_BR_1","BP_BR_1",0.336397110698177
"BP_BR_1","BP_BR_2",0.00472754449873246
"BP_BR_1","BP_BR_3",0.00327296916223348
"BP_BR_1","BP_SS_2",0.00322171632940843
"BP_BR_1","HR_BR_1",0.000983400484524525
"BP_BR_1","HR_BR_2",0.000264390661133106
"BP_BR_1","HR_BR_3",0.000650462804927073
"BP_BR_1","HR_BR_4",0.000609239952007511
"BP_BR_1","HR_BR_5",0.000396724494500014
"BP_BR_1","HR_BR_6",0.000619359347794979
"BP_BR_1","HR_BR_7",0.00185369748745314
"BP_BR_1","HR_BR_8",0.00114040987266945
"BP_BR_1","HR_C_1",0.000330518678081076
"BP_BR_1","HR_C_2",0.000499680257721065
"BP_BR_1","HR_C_3",0.000181092109835555
"BP_BR_1","HR_C_4",0.000902247524000388
"BP_BR_1","HR_C_5",0.000396928104696307
"BP_BR_1","HR_C_6",0.000883392256199325
"BP_BR_1","HR_C_7",0.000546239288784222
"BP_BR_1","HR_C_8",0.000397822833412299
"BP_BR_1","HR_IF_1",0.000153086802757235
"BP_BR_1","HR_IF_2",0.000112896130405987
"BP_BR_1","HR_IF_3",0.00021052210781598
"BP_BR_1","HR_IF_4",0.000441880374769332
"BP_BR_1","HR_IF_5",0.000204942567573457
"BP_BR_1","HR_IF_6",0.000123920233173282
"BP_BR_1","HR_IF_7",0.000255813941773547
"BP_BR_1","HR_IF_8",0.000473956891654153
"BP_BR_1","HR_IF_9",0.000295536997319043
"BP_BR_1","HR_OF_1",0.000148178052884548
"BP_BR_1","HR_OF_2",0.000481878426524755
"BP_BR_1","HR_OF_3",0.00031950938398397
"BP_BR_1","HR_OF_4",0.000711801551455948
"BP_BR_1","HR_OF_5",0.000460600368555401
"BP_BR_1","HR_OF_9",0.000325765220812208
"BP_BR_1","HR_S_10",0.000877146065027325
"BP_BR_1","HR_S_11",0.000793285830974514
"BP_BR_1","HR_S_13",0.00252147219746426
"BP_BR_1","HR_S_14",0.00074341710125578
"BP_BR_1","HR_S_15",0.000846381004152188
