RCP,MCDAAlgs,Years,Guided,PrSites,Seed1,Seed2,SRM,AssistedAdapt,NaturalAdapt,CoralCover,Cult_ES,Prov_ES
26,1,10,0,1,0,0,6,6,0.05,0.902249686,0.136932459,0.194337803
26,1,10,0,1,0,0,6,6,0.05,0.733214623,0.105515782,0.143350862
26,1,10,0,1,0,0,6,6,0.05,1,0.154944344,0.222235943
26,1,10,0,1,0,0,6,6,0.05,1,0.19768159,0.292687297
26,1,10,0,1,0,0,6,6,0.05,1,0.17520276,0.25635278
26,1,10,0,1,0,0,6,6,0.05,1,0.165242871,0.238537349
26,1,10,0,1,0,0,6,6,0.05,0.8072987,0.118417725,0.162394763
26,1,10,0,1,0,0,6,6,0.05,0.747645294,0.106947184,0.143617673
26,1,10,0,1,0,0.005,0,0,0,0.633045649,0.088804612,0.115700625
26,1,10,0,1,0,0.005,0,0,0,1,0.152176456,0.215979809
26,1,10,0,1,0,0.005,0,0,0,0.832052632,0.122390769,0.169747013
26,1,10,0,1,0,0.005,0,0,0,0.661510164,0.092108062,0.120561203
26,1,10,0,1,0,0.005,0,0,0,0.937651319,0.139064793,0.195275931
26,1,10,0,1,0,0.005,0,0,0,1,0.17984266,0.26296542
26,1,10,0,1,0,0.005,0,0,0,1,0.159065025,0.229299988
26,1,10,0,1,0,0.005,0,0,0,0.986034486,0.148117001,0.209532438
26,1,10,0,1,0,0.005,0,0,0,0.727580146,0.104035751,0.138246339
26,1,10,0,1,0,0.005,0,0,0,0.667477435,0.092347185,0.118517879
26,1,10,0,1,0,0.005,0,0,0.05,0.704808523,0.102985418,0.139210749
26,1,10,0,1,0,0.005,0,0,0.05,1,0.17037039,0.246365616
26,1,10,0,1,0,0.005,0,0,0.05,0.907156304,0.137490363,0.19469272
26,1,10,0,1,0,0.005,0,0,0.05,0.739582354,0.106264167,0.14378118
26,1,10,0,1,0,0.005,0,0,0.05,1,0.155404727,0.22251886
26,1,10,0,1,0,0.005,0,0,0.05,1,0.19784649,0.292691451
26,1,10,0,1,0,0.005,0,0,0.05,1,0.175556609,0.256559315
26,1,10,0,1,0,0.005,0,0,0.05,1,0.165670864,0.23876589
26,1,10,0,1,0,0.005,0,0,0.05,0.813593799,0.119144083,0.162870259
26,1,10,0,1,0,0.005,0,0,0.05,0.755593459,0.107723226,0.144060902
26,1,10,0,1,0,0.005,0,6,0,0.631639362,0.088662904,0.115605442
26,1,10,0,1,0,0.005,0,6,0,1,0.15211096,0.215986877
26,1,10,0,1,0,0.005,0,6,0,0.830952343,0.122310507,0.169680939
26,1,10,0,1,0,0.005,0,6,0,0.659630024,0.091869591,0.120448181
26,1,10,0,1,0,0.005,0,6,0,0.937289453,0.139072209,0.195285704
26,1,10,0,1,0,0.005,0,6,0,1,0.179834801,0.262900694
26,1,10,0,1,0,0.005,0,6,0,1,0.158989606,0.229270576
26,1,10,0,1,0,0.005,0,6,0,0.987096076,0.148240641,0.209574059
26,1,10,0,1,0,0.005,0,6,0,0.727367583,0.10405986,0.138282539
26,1,10,0,1,0,0.005,0,6,0,0.664698864,0.092093537,0.118401841
26,1,10,0,1,0,0.005,0,6,0.05,0.706144966,0.103189811,0.139347208
26,1,10,0,1,0,0.005,0,6,0.05,1,0.170358605,0.246332507
26,1,10,0,1,0,0.005,0,6,0.05,0.910393226,0.137639374,0.194778975
26,1,10,0,1,0,0.005,0,6,0.05,0.739303316,0.10620484,0.143791484
26,1,10,0,1,0,0.005,0,6,0.05,1,0.155626987,0.222659727
26,1,10,0,1,0,0.005,0,6,0.05,1,0.197987207,0.292805927
26,1,10,0,1,0,0.005,0,6,0.05,1,0.175586302,0.256573267
26,1,10,0,1,0,0.005,0,6,0.05,1,0.165692063,0.23876095
26,1,10,0,1,0,0.005,0,6,0.05,0.813116211,0.119087565,0.162829854
26,1,10,0,1,0,0.005,0,6,0.05,0.754967485,0.107751445,0.144037949
26,1,10,0,1,0,0.005,6,0,0,0.631252548,0.088610517,0.115644223
26,1,10,0,1,0,0.005,6,0,0,1,0.152249839,0.216045726
26,1,10,0,1,0,0.005,6,0,0,0.829136706,0.122155523,0.169598996
26,1,10,0,1,0,0.005,6,0,0,0.660511237,0.091982632,0.120510519
26,1,10,0,1,0,0.005,6,0,0,0.935651673,0.138883068,0.195157404
26,1,10,0,1,0,0.005,6,0,0,1,0.179882909,0.263018017
26,1,10,0,1,0,0.005,6,0,0,1,0.158972714,0.229243677
26,1,10,0,1,0,0.005,6,0,0,0.986876745,0.14819205,0.209571396
26,1,10,0,1,0,0.005,6,0,0,0.729809676,0.10434862,0.138447673
26,1,10,0,1,0,0.005,6,0,0,0.665357317,0.092113294,0.118358691
26,1,10,0,1,0,0.005,6,0,0.05,0.706286021,0.103057675,0.139110037
26,1,10,0,1,0,0.005,6,0,0.05,1,0.170375082,0.2463398
26,1,10,0,1,0,0.005,6,0,0.05,0.909383983,0.137583121,0.194748508
26,1,10,0,1,0,0.005,6,0,0.05,0.740146867,0.106310147,0.143848419
26,1,10,0,1,0,0.005,6,0,0.05,1,0.155462318,0.222567215
26,1,10,0,1,0,0.005,6,0,0.05,1,0.197922485,0.292739876
26,1,10,0,1,0,0.005,6,0,0.05,1,0.175533053,0.256540468
26,1,10,0,1,0,0.005,6,0,0.05,1,0.165735923,0.238796075
26,1,10,0,1,0,0.005,6,0,0.05,0.814243312,0.119272277,0.162926994
26,1,10,0,1,0,0.005,6,0,0.05,0.753806908,0.107676458,0.144027658
26,1,10,0,1,0,0.005,6,6,0,0.633968807,0.088835868,0.115712103
26,1,10,0,1,0,0.005,6,6,0,1,0.152296862,0.216126267
26,1,10,0,1,0,0.005,6,6,0,0.828771721,0.122139338,0.169591134
26,1,10,0,1,0,0.005,6,6,0,0.66029913,0.091951943,0.120490451
26,1,10,0,1,0,0.005,6,6,0,0.936896801,0.139025811,0.195249533
26,1,10,0,1,0,0.005,6,6,0,1,0.179869619,0.262936136
26,1,10,0,1,0,0.005,6,6,0,1,0.158982014,0.229284866
26,1,10,0,1,0,0.005,6,6,0,0.987924222,0.148281437,0.209598542
26,1,10,0,1,0,0.005,6,6,0,0.72871773,0.104187069,0.138373767
26,1,10,0,1,0,0.005,6,6,0,0.665852729,0.09221,0.118453343
26,1,10,0,1,0,0.005,6,6,0.05,0.706298689,0.103195602,0.139341747
26,1,10,0,1,0,0.005,6,6,0.05,1,0.170418934,0.24638909
26,1,10,0,1,0,0.005,6,6,0.05,0.909847629,0.137560996,0.194725175
26,1,10,0,1,0,0.005,6,6,0.05,0.740868631,0.106461283,0.143925924
26,1,10,0,1,0,0.005,6,6,0.05,1,0.155455798,0.222572418
26,1,10,0,1,0,0.005,6,6,0.05,1,0.197876724,0.292677149
26,1,10,0,1,0,0.005,6,6,0.05,1,0.175733169,0.256672309
26,1,10,0,1,0,0.005,6,6,0.05,1,0.165689876,0.238773411
26,1,10,0,1,0,0.005,6,6,0.05,0.813338494,0.119134988,0.162856123
26,1,10,0,1,0,0.005,6,6,0.05,0.756589506,0.10783757,0.144080709
26,1,10,0,1,0.005,0,0,0,0,0.630066108,0.089916427,0.11887266
26,1,10,0,1,0.005,0,0,0,0,1,0.154777262,0.220924124
26,1,10,0,1,0.005,0,0,0,0,0.829083933,0.124101449,0.173502082
26,1,10,0,1,0.005,0,0,0,0,0.657999597,0.092838399,0.123069491
26,1,10,0,1,0.005,0,0,0,0,0.935848577,0.140919571,0.199110001
26,1,10,0,1,0.005,0,0,0,0,1,0.183570705,0.269456825
26,1,10,0,1,0.005,0,0,0,0,1,0.161886395,0.234527911
26,1,10,0,1,0.005,0,0,0,0,0.987661712,0.150829581,0.214532082
26,1,10,0,1,0.005,0,0,0,0,0.725787342,0.104901022,0.140581928
26,1,10,0,1,0.005,0,0,0,0,0.663578828,0.093252542,0.121451098
26,1,10,0,1,0.005,0,0,0,0.05,0.702918623,0.104353698,0.14237884
26,1,10,0,1,0.005,0,0,0,0.05,1,0.173506159,0.252003914
26,1,10,0,1,0.005,0,0,0,0.05,0.909561851,0.140144953,0.199681725
26,1,10,0,1,0.005,0,0,0,0.05,0.739386787,0.1079855,0.147602292
26,1,10,0,1,0.005,0,0,0,0.05,1,0.157513912,0.22647845
26,1,10,0,1,0.005,0,0,0,0.05,1,0.203583288,0.302223469
26,1,10,0,1,0.005,0,0,0,0.05,1,0.179329845,0.263059537
26,1,10,0,1,0.005,0,0,0,0.05,1,0.16878685,0.244386353
26,1,10,0,1,0.005,0,0,0,0.05,0.812056509,0.12040342,0.16580761
26,1,10,0,1,0.005,0,0,0,0.05,0.752100843,0.108821931,0.146838121
26,1,10,0,1,0.005,0,0,6,0,0.639988639,0.093716863,0.125500158
26,1,10,0,1,0.005,0,0,6,0,1,0.159577823,0.228937044
