site_id,habitat,area,benthic,rubble,k,Reef,reef_siteid,sitedepth,lat,long
1_BR_1,Back Reef,4964.37915948499,Rock,False,3.9215686274509802,19139100104,19139100104_1_BR_1,-4.801941189111448,149.58579520360314,-19.519576139127544
1_C_1,Crest,166465.7813459467,Rock,False,38.20224719101124,19139100104,19139100104_1_C_1,-1.503680265872294,149.58958732735994,-19.515948139937052
1_C_2,Crest,76781.48637351347,Hard Substrate,False,58.232445520581116,19139100104,19139100104_1_C_2,-1.8150168841535395,149.58650043951104,-19.518567343521614
1_OF_1,Outer Flat,74463.47207235871,Rock,False,31.25,19139100104,19139100104_1_OF_1,-2.0122785986994027,149.5855922883714,-19.517519621232417
1_S_1,Slope,127412.34151084023,Rock,False,21.520940484937544,19139100104,19139100104_1_S_1,-9.006285256968859,149.59143853961052,-19.51449199185526
1_S_2,Slope,202539.2101837336,Rock,False,19.349235757295045,19139100104,19139100104_1_S_2,-9.5118529662745,149.58463949154805,-19.517247385972393
1_S_3,Slope,141650.75466432516,Rock,False,16.53386454183267,19139100104,19139100104_1_S_3,-7.577873651791372,149.589710997238,-19.51887280467926
1_BR_1,Back Reef,19533.92846749723,Rock,False,28.952380952380953,19141100104,19141100104_1_BR_1,-5.265906263142824,149.59395596744903,-19.54434689748005
1_BR_10,Back Reef,48021.78213297902,Hard Substrate,False,41.42574257425743,19141100104,19141100104_1_BR_10,-4.760350736795238,149.61167213598142,-19.561779872653997
1_BR_11,Back Reef,22186.649676448666,Rock,False,18.776824034334766,19141100104,19141100104_1_BR_11,-6.8567389265625875,149.58335716338132,-19.55984478694092
1_BR_12,Back Reef,18545.2782238652,Rock,False,6.532663316582915,19141100104,19141100104_1_BR_12,-5.118874334898151,149.58193373504452,-19.56482732453967
1_BR_13,Back Reef,8280.057502206415,Sand,False,7.954545454545454,19141100104,19141100104_1_BR_13,-3.242698795824166,149.60625805408623,-19.566843425296863
1_BR_2,Back Reef,24170.513236092404,Rock,False,16.249999999999996,19141100104,19141100104_1_BR_2,-7.591914980035079,149.58743455768476,-19.55006152691575
1_BR_3,Back Reef,10264.588628241327,Sand,False,39.729729729729726,19141100104,19141100104_1_BR_3,-6.282316838160599,149.599060798717,-19.550026944226136
1_BR_4,Back Reef,46027.22406921908,Rock,False,27.921810699588473,19141100104,19141100104_1_BR_4,-10.000896488517391,149.59557203600127,-19.554147659676833
1_BR_5,Back Reef,10264.683333400637,Rock,False,21.44859813084112,19141100104,19141100104_1_BR_5,-7.349990090521255,149.58374430953006,-19.554352673817267
1_BR_6,Back Reef,14570.761443458032,Hard Substrate,False,45.22292993630573,19141100104,19141100104_1_BR_6,-3.1511632463559,149.6085807545695,-19.555867554754126
1_BR_7,Back Reef,44043.31151113892,Sand,False,29.42184154175589,19141100104,19141100104_1_BR_7,-9.547975226028546,149.60063347364922,-19.55756493443592
1_BR_8,Back Reef,24504.810252967756,Sand,False,29.769230769230766,19141100104,19141100104_1_BR_8,-8.079512001037598,149.58945540121044,-19.558823115790116
1_BR_9,Back Reef,14239.800329798833,Hard Substrate,False,38.01948051948052,19141100104,19141100104_1_BR_9,-10.281197264080955,149.5967943835619,-19.55964781967869
1_C_1,Crest,94728.28909604345,Rock,False,31.651829871414442,19141100104,19141100104_1_C_1,-1.5403793852590222,149.5985036443436,-19.572022001040487
1_C_10,Crest,47692.40658239974,Hard Substrate,False,52.2,19141100104,19141100104_1_C_10,-1.5567031564210592,149.5882954967355,-19.570070141986886
1_C_11,Crest,44051.893655490596,Rock,False,31.556503198294244,19141100104,19141100104_1_C_11,-1.5768249972300097,149.61014058606517,-19.56911972722143
1_C_12,Crest,64916.855551642366,Rock,False,32.65895953757225,19141100104,19141100104_1_C_12,-1.5027788009511711,149.59306812947517,-19.57132130570383
1_C_2,Crest,106943.02320793224,Hard Substrate,False,55.28384279475983,19141100104,19141100104_1_C_2,-1.5639119566978406,149.60003499112037,-19.544908473903533
1_C_3,Crest,57963.96626215009,Rock,False,31.07890499194847,19141100104,19141100104_1_C_3,-1.5634758597817915,149.60399256984434,-19.57175185033399
1_C_4,Crest,138414.28649126133,Rock,False,25.407608695652176,19141100104,19141100104_1_C_4,-1.5042031702802916,149.60793852254898,-19.55194980778427
1_C_5,Crest,103627.56297426391,Rock,False,33.96739130434783,19141100104,19141100104_1_C_5,-1.873774664083809,149.5958101139181,-19.54282041480142
1_C_6,Crest,117875.02696551429,Rock,False,15.14670896114195,19141100104,19141100104_1_C_6,-1.5972358419647281,149.6042222424408,-19.547477523602115
1_C_7,Crest,140099.24383562058,Rock,False,13.93168117883456,19141100104,19141100104_1_C_7,-1.5336181947529146,149.61670662509331,-19.564688694373988
1_C_8,Crest,112931.80608898075,Rock,False,27.866611433305717,19141100104,19141100104_1_C_8,-1.519573944974953,149.61474647898157,-19.559677187001878
1_C_9,Crest,72854.7029357613,Rock,False,22.322580645161292,19141100104,19141100104_1_C_9,-1.4887295094995552,149.61150843487127,-19.556041639551196
1_IF_1,Inner Flat,145071.11625927035,Hard Substrate,False,48.6765655261459,19141100104,19141100104_1_IF_1,-2.155237929738801,149.60292927346137,-19.569847537570258
1_IF_10,Inner Flat,50013.20973561378,Hard Substrate,False,56.63551401869159,19141100104,19141100104_1_IF_10,-1.8283979997634887,149.5990587203645,-19.570927919337795
1_IF_2,Inner Flat,107625.71438459447,Hard Substrate,False,47.382198952879584,19141100104,19141100104_1_IF_2,-2.5928803329565087,149.59220704781433,-19.560296097346153
