"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"36",-19.5537607963584,149.603923215757,"L_36","1_IF_8","Inner Flat",152654.909595485,FALSE,58.9244007375538,19141100104,"19141100104_1_IF_8",31,77
"37",-19.5627611305055,149.587670015007,"L_37","1_IF_9","Inner Flat",160613.796423968,FALSE,59.3438781487991,19141100104,"19141100104_1_IF_9",27,79
"38",-19.5627469002413,149.606644815554,"L_38","1_OF_11","Outer Flat",59613.050267437,FALSE,73.9268680445151,19141100104,"19141100104_1_OF_11",30,75
"39",-19.5613503275953,149.583095943038,"L_39","1_OF_12","Outer Flat",31790.47290423,FALSE,8.30860534124629,19141100104,"19141100104_1_OF_12",26,80
"40",-19.5695921450843,149.606973572449,"L_40","1_OF_2","Outer Flat",86116.1380917244,FALSE,30.9705561613959,19141100104,"19141100104_1_OF_2",29,74
"41",-19.546930429988,149.599010392983,"L_41","1_OF_3","Outer Flat",121845.260044056,FALSE,76.2830482115086,19141100104,"19141100104_1_OF_3",32,79
"42",-19.549978484143,149.603732336636,"L_42","1_OF_5","Outer Flat",175825.122676243,FALSE,45.5167820990943,19141100104,"19141100104_1_OF_5",32,78
"43",-19.5670365715781,149.58368503758,"L_43","1_OF_6","Outer Flat",108957.545618331,FALSE,42.6850258175559,19141100104,"19141100104_1_OF_6",25,79
"44",-19.5439482706494,149.592243890694,"L_44","1_OF_8","Outer Flat",27148.5399397584,FALSE,24.9146757679181,19141100104,"19141100104_1_OF_8",31,81
"45",-19.5596087743581,149.59964337719,"L_45","1_OF_9","Outer Flat",83783.7712785802,FALSE,40.6911928651059,19141100104,"19141100104_1_OF_9",29,77
"46",-19.5458275641744,149.585783944518,"L_46","1_S_11","Slope",69195.9914352349,FALSE,31.2106703146375,19141100104,"19141100104_1_S_11",30,82
"47",-19.5547532225505,149.592001789728,"L_47","1_S_14","Slope",1324.51976507343,FALSE,35,19141100104,"19141100104_1_S_14",29,79
"48",-19.5704570348428,149.587180468686,"L_48","1_S_16","Slope",66239.564603792,FALSE,25.6647807637907,19141100104,"19141100104_1_S_16",25,78
"49",-19.553501369774,149.611482626726,"L_49","1_S_5","Slope",129478.027980667,FALSE,19.956678700361,19141100104,"19141100104_1_S_5",33,76
"50",-19.5416495190576,149.596788464135,"L_50","1_S_6","Slope",96342.5628727255,FALSE,20.4956268221574,19141100104,"19141100104_1_S_6",33,80
"51",-19.5489137558871,149.60756912275,"L_51","1_S_7","Slope",84104.4971043938,FALSE,16.6335540838852,19141100104,"19141100104_1_S_7",33,77
"52",-19.5647426770939,149.61807514903,"L_52","1_S_9","Slope",141424.817234064,FALSE,19.6897689768977,19141100104,"19141100104_1_S_9",32,73
"53",-19.5679874755899,149.653456390483,"L_53","1_BR_1","Back Reef",17225.5211213203,FALSE,11.0160427807487,19142100104,"19142100104_1_BR_1",37,65
"54",-19.5698109278092,149.659500075456,"L_54","1_BR_2","Back Reef",51678.9310017065,FALSE,26.880650994575,19142100104,"19142100104_1_BR_2",37,64
