,lat,long,siteref,site_id,habitat,area,rubble,k,Reef,reef_siteid,x,y,recom_connectivity,sitedepth
41,-19.54693043,149.5990104,L_41,1_OF_3,Outer Flat,121845.26,FALSE,76.28304821,19141100104,19141100104_1_OF_3,32,79,L_41_V1,0
42,-19.54997848,149.6037323,L_42,1_OF_5,Outer Flat,175825.1227,FALSE,45.5167821,19141100104,19141100104_1_OF_5,32,78,L_42_V1,0
43,-19.56703657,149.583685,L_43,1_OF_6,Outer Flat,108957.5456,FALSE,42.68502582,19141100104,19141100104_1_OF_6,25,79,L_43_V1,0
44,-19.54394827,149.5922439,L_44,1_OF_8,Outer Flat,27148.53994,FALSE,24.91467577,19141100104,19141100104_1_OF_8,31,81,L_44_V1,0
45,-19.55960877,149.5996434,L_45,1_OF_9,Outer Flat,83783.77128,FALSE,40.69119287,19141100104,19141100104_1_OF_9,29,77,L_45_V1,0
46,-19.54582756,149.5857839,L_46,1_S_11,Slope,69195.99144,FALSE,31.21067031,19141100104,19141100104_1_S_11,30,82,L_46_V1,0
47,-19.55475322,149.5920018,L_47,1_S_14,Slope,1324.519765,FALSE,35,19141100104,19141100104_1_S_14,29,79,L_47_V1,0
48,-19.57045703,149.5871805,L_48,1_S_16,Slope,66239.5646,FALSE,25.66478076,19141100104,19141100104_1_S_16,25,78,L_48_V1,0
49,-19.55350137,149.6114826,L_49,1_S_5,Slope,129478.028,FALSE,19.9566787,19141100104,19141100104_1_S_5,33,76,L_49_V1,0
50,-19.54164952,149.5967885,L_50,1_S_6,Slope,96342.56287,FALSE,20.49562682,19141100104,19141100104_1_S_6,33,80,L_50_V1,0
51,-19.54891376,149.6075691,L_51,1_S_7,Slope,84104.4971,FALSE,16.63355408,19141100104,19141100104_1_S_7,33,77,L_51_V1,0
52,-19.56474268,149.6180751,L_52,1_S_9,Slope,141424.8172,FALSE,19.68976898,19141100104,19141100104_1_S_9,32,73,L_52_V1,0
53,-19.56798748,149.6534564,L_53,1_BR_1,Back Reef,17225.52112,FALSE,11.01604278,19142100104,19142100104_1_BR_1,37,65,L_53_V1,0
54,-19.56981093,149.6595001,L_54,1_BR_2,Back Reef,51678.931,FALSE,26.88065099,19142100104,19142100104_1_BR_2,37,64,L_54_V1,0
55,-19.57360434,149.6524625,L_55,1_BR_3,Back Reef,5631.847129,FALSE,21.45454545,19142100104,19142100104_1_BR_3,35,64,L_55_V1,0
56,-19.57717021,149.6648466,L_56,1_BR_4,Back Reef,44064.95032,FALSE,25.73560768,19142100104,19142100104_1_BR_4,37,61,L_56_V1,0
57,-19.57922938,149.6694777,L_57,1_BR_5,Back Reef,15241.18542,FALSE,39.65625,19142100104,19142100104_1_BR_5,37,60,L_57_V1,0
58,-19.56704854,149.6582514,L_58,1_C_1,Crest,25838.35304,FALSE,21.11111111,19142100104,19142100104_1_C_1,38,64,L_58_V1,0
59,-19.56908445,149.6639668,L_59,1_C_2,Crest,169282.4114,FALSE,18.64218141,19142100104,19142100104_1_C_2,38,63,L_59_V1,0
60,-19.57509992,149.6685473,L_60,1_C_3,Crest,81833.53002,FALSE,51.02505695,19142100104,19142100104_1_C_3,38,61,L_60_V1,0
61,-19.5722204,149.6596039,L_61,1_S_1,Slope,103692.6915,FALSE,31.15837104,19142100104,19142100104_1_S_1,37,63,L_61_V1,0
62,-19.56585822,149.6552179,L_62,1_S_2,Slope,157344.7166,FALSE,24.29636255,19142100104,19142100104_1_S_2,38,65,L_62_V1,0
63,-19.57148075,149.6536793,L_63,1_S_3,Slope,344527.6279,FALSE,27.58414767,19142100104,19142100104_1_S_3,36,64,L_63_V1,0
64,-19.57930848,149.6640036,L_64,1_S_4,Slope,113975.6135,FALSE,26.21174524,19142100104,19142100104_1_S_4,36,61,L_64_V1,0
65,-19.567387,149.6644442,L_65,1_S_6,Slope,151721.3588,FALSE,10.53921569,19142100104,19142100104_1_S_6,39,63,L_65_V1,0
66,-19.57406728,149.6638781,L_66,1_S_8,Slope,205405.9254,FALSE,29.15525114,19142100104,19142100104_1_S_8,37,62,L_66_V1,0
67,-19.5856868,149.7085507,L_67,1_BR_1,Back Reef,15907.34566,FALSE,34.58823529,19143100104,19143100104_1_BR_1,42,51,L_67_V1,0
68,-19.58100711,149.5684886,L_68,1_C_1,Crest,81812.83085,FALSE,11.02272727,19144100104,19144100104_1_C_1,20,79,L_68_V1,0
69,-19.58103317,149.5677263,L_69,1_S_1,Slope,121890.91,FALSE,17.01269604,19144100104,19144100104_1_S_1,20,80,L_69_V1,0
70,-19.59178483,149.5075182,L_70,1_BR_1,Back Reef,16229.15415,FALSE,19.16666667,19145100104,19145100104_1_BR_1,8,89,L_70_V1,0
71,-19.58772813,149.5091996,L_71,1_S_1,Slope,195402.2441,FALSE,14.13717887,19145100104,19145100104_1_S_1,9,89,L_71_V1,0
72,-19.59233277,149.5068795,L_72,1_S_2,Slope,75515.66446,FALSE,18.01980198,19145100104,19145100104_1_S_2,7,89,L_72_V1,0
73,-19.59598714,149.6243432,L_73,1_BR_1,Back Reef,18556.06433,FALSE,23.73737374,19146100104,19146100104_1_BR_1,26,66,L_73_V1,0
74,-19.59857739,149.6365674,L_74,1_BR_2,Back Reef,1325.535639,FALSE,35,19146100104,19146100104_1_BR_2,28,64,L_74_V1,0
75,-19.60571415,149.6475792,L_75,1_BR_3,Back Reef,3645.723009,FALSE,35,19146100104,19146100104_1_BR_3,28,60,L_75_V1,0
76,-19.62105563,149.6312937,L_76,1_BR_4,Back Reef,7292.619445,FALSE,33.58108108,19146100104,19146100104_1_BR_4,22,61,L_76_V1,0
77,-19.59744753,149.6320987,L_77,1_C_2,Crest,126253.3833,FALSE,13.21455085,19146100104,19146100104_1_C_2,27,65,L_77_V1,0
78,-19.59878591,149.6218226,L_78,1_C_3,Crest,118629.9327,FALSE,18.84402217,19146100104,19146100104_1_C_3,25,66,L_78_V1,0
79,-19.62883922,149.6375642,L_79,1_C_4,Crest,56027.86954,FALSE,5.695142379,19146100104,19146100104_1_C_4,22,59,L_79_V1,0
80,-19.59896844,149.628942,L_80,1_SS_1,Sheltered Slope,8947.186951,FALSE,15.17045455,19146100104,19146100104_1_SS_1,26,65,L_80_V1,0
81,-19.59693498,149.6197598,L_81,1_SS_2,Sheltered Slope,4639.006596,FALSE,3.921568627,19146100104,19146100104_1_SS_2,25,67,L_81_V1,0
82,-19.62396269,149.6354127,L_82,1_SS_3,Sheltered Slope,128953.8081,FALSE,22.08667152,19146100104,19146100104_1_SS_3,22,60,L_82_V1,0
83,-19.5976275,149.633811,L_83,1_S_1,Slope,80524.47624,FALSE,20.01744186,19146100104,19146100104_1_S_1,27,64,L_83_V1,0
84,-19.61706935,149.6251898,L_84,1_S_11,Slope,41100.71491,FALSE,35,19146100104,19146100104_1_S_11,22,63,L_84_V1,0
85,-19.61481734,149.6399344,L_85,1_S_12,Slope,16904.62619,FALSE,22.93956044,19146100104,19146100104_1_S_12,25,60,L_85_V1,0
86,-19.59470893,149.6241922,L_86,1_S_3,Slope,9277.860687,FALSE,27.19387755,19146100104,19146100104_1_S_3,26,67,L_86_V1,0
87,-19.62065312,149.6347154,L_87,1_S_7,Slope,54694.9633,FALSE,19.59412781,19146100104,19146100104_1_S_7,23,60,L_87_V1,0
88,-19.62936687,149.6401454,L_88,1_S_8,Slope,75920.63754,FALSE,18.36633663,19146100104,19146100104_1_S_8,22,58,L_88_V1,0
89,-19.60288293,149.6420043,L_89,1_S_9,Slope,78212.76015,FALSE,35,19146100104,19146100104_1_S_9,28,62,L_89_V1,0
90,-19.60858479,149.650134,L_90,1_BR_1,Back Reef,19555.28677,FALSE,29.64622642,19147100104,19147100104_1_BR_1,28,59,L_90_V1,0
91,-19.64237682,149.6907361,L_91,1_BR_10,Back Reef,15919.07394,FALSE,28.51851852,19147100104,19147100104_1_BR_10,28,46,L_91_V1,0
92,-19.64617541,149.6810133,L_92,1_BR_11,Back Reef,8291.358876,FALSE,20.05555556,19147100104,19147100104_1_BR_11,25,47,L_92_V1,0
93,-19.61239267,149.6536789,L_93,1_BR_2,Back Reef,14584.55581,TRUE,13.2,19147100104,19147100104_1_BR_2,28,58,L_93_V1,0
94,-19.61583079,149.6561074,L_94,1_BR_3,Back Reef,29502.24138,FALSE,41.76751592,19147100104,19147100104_1_BR_3,27,57,L_94_V1,0
95,-19.6259397,149.6650533,L_95,1_BR_4,Back Reef,19229.47941,FALSE,33.03921569,19147100104,19147100104_1_BR_4,27,54,L_95_V1,0
96,-19.62576272,149.6835325,L_96,1_BR_5,Back Reef,8289.055948,FALSE,35,19147100104,19147100104_1_BR_5,30,50,L_96_V1,0
97,-19.62704423,149.6520033,L_97,1_BR_6,Back Reef,6962.203203,FALSE,23.6,19147100104,19147100104_1_BR_6,24,56,L_97_V1,0
98,-19.63410052,149.6856764,L_98,1_BR_7,Back Reef,31170.71607,FALSE,20.91317365,19147100104,19147100104_1_BR_7,28,48,L_98_V1,0
99,-19.63552935,149.6912859,L_99,1_BR_8,Back Reef,32829.99899,FALSE,30.38348083,19147100104,19147100104_1_BR_8,29,47,L_99_V1,0
100,-19.63745649,149.6539815,L_100,1_BR_9,Back Reef,32495.23942,FALSE,16.51603499,19147100104,19147100104_1_BR_9,23,54,L_100_V1,0
101,-19.61146342,149.657989,L_101,1_C_1,Crest,148828.9581,FALSE,39.1959799,19147100104,19147100104_1_C_1,29,57,L_101_V1,0
102,-19.61972857,149.6682052,L_102,1_C_2,Crest,112384.3752,FALSE,36.5752286,19147100104,19147100104_1_C_2,29,54,L_102_V1,0
103,-19.61498129,149.6634997,L_103,1_C_3,Crest,111380.6606,FALSE,31.19188504,19147100104,19147100104_1_C_3,29,56,L_103_V1,0
104,-19.62472775,149.6884493,L_104,1_C_6,Crest,120688.8674,FALSE,39.50426026,19147100104,19147100104_1_C_6,31,49,L_104_V1,0
105,-19.64705687,149.6866903,L_105,1_C_7,Crest,123047.5963,FALSE,6.120887529,19147100104,19147100104_1_C_7,26,46,L_105_V1,0
106,-19.62831277,149.6927387,L_106,1_C_8,Crest,45427.03495,FALSE,17.87784679,19147100104,19147100104_1_C_8,31,48,L_106_V1,0
