,siteref,x,y,site_id,habitat,area,rubble,k,Reef,reef_siteid,long,lat,sitedepth,recom_connectivity
43,L_25,32,80,1_C_5,Crest,103627.563,FALSE,33.9673913,19141100104,19141100104_1_C_5,149.5958101,-19.54282041,0,L_25
44,L_26,33,78,1_C_6,Crest,117875.027,FALSE,15.14670896,19141100104,19141100104_1_C_6,149.6042222,-19.54747752,0,L_26
45,L_27,31,73,1_C_7,Crest,140099.2438,FALSE,13.93168118,19141100104,19141100104_1_C_7,149.6167066,-19.56468869,0,L_27
46,L_27,31,73,1_OF_1,Outer Flat,112278.8582,FALSE,37.40585774,19141100104,19141100104_1_OF_1,149.6145658,-19.56566785,0,L_27
47,L_28,32,74,1_C_8,Crest,112931.8061,FALSE,27.86661143,19141100104,19141100104_1_C_8,149.6147465,-19.55967719,0,L_28
48,L_28,32,74,1_S_12,Slope,104319.4575,FALSE,13.59135914,19141100104,19141100104_1_S_12,149.6156442,-19.5582984,0,L_28
49,L_29,32,75,1_C_9,Crest,72854.70294,FALSE,22.32258065,19141100104,19141100104_1_C_9,149.6115084,-19.55604164,0,L_29
50,L_30,28,75,1_IF_1,Inner Flat,145071.1163,FALSE,48.67656553,19141100104,19141100104_1_IF_1,149.6029293,-19.56984754,0,L_30
51,L_31,28,78,1_IF_2,Inner Flat,107625.7144,FALSE,47.38219895,19141100104,19141100104_1_IF_2,149.592207,-19.5602961,0,L_31
52,L_31,28,78,1_OF_10,Outer Flat,38083.46921,FALSE,39.65517241,19141100104,19141100104_1_OF_10,149.59453,-19.56071601,0,L_31
53,L_32,31,78,1_IF_3,Inner Flat,197679.9066,FALSE,57.87842952,19141100104,19141100104_1_IF_3,149.6006119,-19.55101648,0,L_32
54,L_32,31,78,1_P_2,Patch,662.2700534,FALSE,35,19141100104,19141100104_1_P_2,149.6008376,-19.55372668,0,L_32
55,L_33,31,76,1_IF_5,Inner Flat,137764.0289,FALSE,50.41893733,19141100104,19141100104_1_IF_5,149.6063217,-19.55852127,0,L_33
56,L_34,26,78,1_IF_6,Inner Flat,286805.2388,FALSE,41.65580183,19141100104,19141100104_1_IF_6,149.5879213,-19.56728982,0,L_34
57,L_35,30,74,1_IF_7,Inner Flat,225881.1404,FALSE,46.57752902,19141100104,19141100104_1_IF_7,149.6104108,-19.56622008,0,L_35
58,L_36,31,77,1_IF_8,Inner Flat,152654.9096,FALSE,58.92440074,19141100104,19141100104_1_IF_8,149.6039232,-19.5537608,0,L_36
59,L_36,31,77,1_SS_2,Sheltered Slope,146699.7395,FALSE,35.69693095,19141100104,19141100104_1_SS_2,149.6025022,-19.55667575,0,L_36
60,L_37,27,79,1_IF_9,Inner Flat,160613.7964,FALSE,59.34387815,19141100104,19141100104_1_IF_9,149.58767,-19.56276113,0,L_37
61,L_38,30,75,1_OF_11,Outer Flat,59613.05027,FALSE,73.92686804,19141100104,19141100104_1_OF_11,149.6066448,-19.5627469,0,L_38
62,L_38,30,75,1_SS_7,Sheltered Slope,18546.16201,FALSE,41.375,19141100104,19141100104_1_SS_7,149.6080031,-19.56196146,0,L_38
63,L_39,26,80,1_OF_12,Outer Flat,31790.4729,FALSE,8.308605341,19141100104,19141100104_1_OF_12,149.5830959,-19.56135033,0,L_39
64,L_39,26,80,1_SS_4,Sheltered Slope,128816.273,FALSE,24.86632948,19141100104,19141100104_1_SS_4,149.5822786,-19.56079122,0,L_39
65,L_40,29,74,1_OF_2,Outer Flat,86116.13809,FALSE,30.97055616,19141100104,19141100104_1_OF_2,149.6069736,-19.56959215,0,L_40
66,L_41,32,79,1_OF_3,Outer Flat,121845.26,FALSE,76.28304821,19141100104,19141100104_1_OF_3,149.5990104,-19.54693043,0,L_41
67,L_42,32,78,1_OF_5,Outer Flat,175825.1227,FALSE,45.5167821,19141100104,19141100104_1_OF_5,149.6037323,-19.54997848,0,L_42
68,L_43,25,79,1_OF_6,Outer Flat,108957.5456,FALSE,42.68502582,19141100104,19141100104_1_OF_6,149.583685,-19.56703657,0,L_43
69,L_43,25,79,1_SS_8,Sheltered Slope,4967.688172,FALSE,2.142857143,19141100104,19141100104_1_SS_8,149.5825138,-19.56758841,0,L_43
70,L_43,25,79,1_S_15,Slope,42390.19392,FALSE,22.92951542,19141100104,19141100104_1_S_15,149.5815818,-19.5665646,0,L_43
71,L_44,31,81,1_OF_8,Outer Flat,27148.53994,FALSE,24.91467577,19141100104,19141100104_1_OF_8,149.5922439,-19.54394827,0,L_44
72,L_44,31,81,1_SS_9,Sheltered Slope,662.1608295,FALSE,35,19141100104,19141100104_1_SS_9,149.5903785,-19.54453378,0,L_44
73,L_44,31,81,1_S_13,Slope,47012.47105,FALSE,23.64185111,19141100104,19141100104_1_S_13,149.5914652,-19.54284688,0,L_44
74,L_45,29,77,1_OF_9,Outer Flat,83783.77128,FALSE,40.69119287,19141100104,19141100104_1_OF_9,149.5996434,-19.55960877,0,L_45
75,L_46,30,82,1_S_11,Slope,69195.99144,FALSE,31.21067031,19141100104,19141100104_1_S_11,149.5857839,-19.54582756,0,L_46
76,L_47,29,79,1_S_14,Slope,1324.519765,FALSE,35,19141100104,19141100104_1_S_14,149.5920018,-19.55475322,0,L_47
77,L_48,25,78,1_S_16,Slope,66239.5646,FALSE,25.66478076,19141100104,19141100104_1_S_16,149.5871805,-19.57045703,0,L_48
78,L_49,33,76,1_S_5,Slope,129478.028,FALSE,19.9566787,19141100104,19141100104_1_S_5,149.6114826,-19.55350137,0,L_49
79,L_50,33,80,1_S_6,Slope,96342.56287,FALSE,20.49562682,19141100104,19141100104_1_S_6,149.5967885,-19.54164952,0,L_50
80,L_51,33,77,1_S_7,Slope,84104.4971,FALSE,16.63355408,19141100104,19141100104_1_S_7,149.6075691,-19.54891376,0,L_51
81,L_52,32,73,1_S_9,Slope,141424.8172,FALSE,19.68976898,19141100104,19141100104_1_S_9,149.6180751,-19.56474268,0,L_52
82,L_53,37,65,1_BR_1,Back Reef,17225.52112,FALSE,11.01604278,19142100104,19142100104_1_BR_1,149.6534564,-19.56798748,0,L_53
83,L_53,37,65,1_P_1,Patch,1325.085614,FALSE,50,19142100104,19142100104_1_P_1,149.654512,-19.57017372,0,L_53
84,L_54,37,64,1_BR_2,Back Reef,51678.931,FALSE,26.88065099,19142100104,19142100104_1_BR_2,149.6595001,-19.56981093,0,L_54
85,L_55,35,64,1_BR_3,Back Reef,5631.847129,FALSE,21.45454545,19142100104,19142100104_1_BR_3,149.6524625,-19.57360434,0,L_55
86,L_56,37,61,1_BR_4,Back Reef,44064.95032,FALSE,25.73560768,19142100104,19142100104_1_BR_4,149.6648466,-19.57717021,0,L_56
87,L_56,37,61,1_OF_2,Outer Flat,64607.56894,FALSE,50.21645022,19142100104,19142100104_1_OF_2,149.6682116,-19.57754467,0,L_56
88,L_57,37,60,1_BR_5,Back Reef,15241.18542,FALSE,39.65625,19142100104,19142100104_1_BR_5,149.6694777,-19.57922938,0,L_57
89,L_57,37,60,1_C_4,Crest,107020.3823,FALSE,35.87051619,19142100104,19142100104_1_C_4,149.6696863,-19.57968116,0,L_57
90,L_57,37,60,1_SS_1,Sheltered Slope,7289.264521,FALSE,32.46753247,19142100104,19142100104_1_SS_1,149.6676143,-19.57968845,0,L_57
91,L_57,37,60,1_S_5,Slope,125905.9373,FALSE,23.24888227,19142100104,19142100104_1_S_5,149.670693,-19.57922086,0,L_57
92,L_58,38,64,1_C_1,Crest,25838.35304,FALSE,21.11111111,19142100104,19142100104_1_C_1,149.6582514,-19.56704854,0,L_58
93,L_58,38,64,1_OF_1,Outer Flat,30476.33307,FALSE,33.33333333,19142100104,19142100104_1_OF_1,149.6580708,-19.56785292,0,L_58
94,L_59,38,63,1_C_2,Crest,169282.4114,FALSE,18.64218141,19142100104,19142100104_1_C_2,149.6639668,-19.56908445,0,L_59
95,L_60,38,61,1_C_3,Crest,81833.53002,FALSE,51.02505695,19142100104,19142100104_1_C_3,149.6685473,-19.57509992,0,L_60
96,L_60,38,61,1_S_7,Slope,90114.43293,FALSE,13.33333333,19142100104,19142100104_1_S_7,149.6692383,-19.57348408,0,L_60
97,L_61,37,63,1_S_1,Slope,103692.6915,FALSE,31.15837104,19142100104,19142100104_1_S_1,149.6596039,-19.5722204,0,L_61
98,L_62,38,65,1_S_2,Slope,157344.7166,FALSE,24.29636255,19142100104,19142100104_1_S_2,149.6552179,-19.56585822,0,L_62
99,L_63,36,64,1_S_3,Slope,344527.6279,FALSE,27.58414767,19142100104,19142100104_1_S_3,149.6536793,-19.57148075,0,L_63
100,L_64,36,61,1_S_4,Slope,113975.6135,FALSE,26.21174524,19142100104,19142100104_1_S_4,149.6640036,-19.57930848,0,L_64
101,L_65,39,63,1_S_6,Slope,151721.3588,FALSE,10.53921569,19142100104,19142100104_1_S_6,149.6644442,-19.567387,0,L_65
102,L_66,37,62,1_S_8,Slope,205405.9254,FALSE,29.15525114,19142100104,19142100104_1_S_8,149.6638781,-19.57406728,0,L_66
103,L_67,42,51,1_BR_1,Back Reef,15907.34566,FALSE,34.58823529,19143100104,19143100104_1_BR_1,149.7085507,-19.5856868,0,L_67
104,L_67,42,51,1_S_1,Slope,60315.7057,FALSE,34.7265625,19143100104,19143100104_1_S_1,149.7088043,-19.58604353,0,L_67
105,L_68,20,79,1_C_1,Crest,81812.83085,FALSE,11.02272727,19144100104,19144100104_1_C_1,149.5684886,-19.58100711,0,L_68
106,L_68,20,79,1_OF_1,Outer Flat,75851.78845,FALSE,25.6281407,19144100104,19144100104_1_OF_1,149.5681529,-19.58204936,0,L_68
107,L_69,20,80,1_S_1,Slope,121890.91,FALSE,17.01269604,19144100104,19144100104_1_S_1,149.5677263,-19.58103317,0,L_69
108,L_70,8,89,1_BR_1,Back Reef,16229.15415,FALSE,19.16666667,19145100104,19145100104_1_BR_1,149.5075182,-19.59178483,0,L_70
109,L_71,9,89,1_S_1,Slope,195402.2441,FALSE,14.13717887,19145100104,19145100104_1_S_1,149.5091996,-19.58772813,0,L_71
110,L_72,7,89,1_S_2,Slope,75515.66446,FALSE,18.01980198,19145100104,19145100104_1_S_2,149.5068795,-19.59233277,0,L_72
111,L_73,26,66,1_BR_1,Back Reef,18556.06433,FALSE,23.73737374,19146100104,19146100104_1_BR_1,149.6243432,-19.59598714,0,L_73
112,L_73,26,66,1_C_1,Crest,145470.2681,FALSE,18.62426995,19146100104,19146100104_1_C_1,149.6271222,-19.59726931,0,L_73
113,L_73,26,66,1_IF_1,Inner Flat,23195.87221,FALSE,11.6,19146100104,19146100104_1_IF_1,149.6239567,-19.59850738,0,L_73
114,L_73,26,66,1_OF_2,Outer Flat,95433.72243,FALSE,35.38611926,19146100104,19146100104_1_OF_2,149.6265355,-19.59735319,0,L_73
115,L_74,28,64,1_BR_2,Back Reef,1325.535639,FALSE,35,19146100104,19146100104_1_BR_2,149.6365674,-19.59857739,0,L_74
116,L_75,28,60,1_BR_3,Back Reef,3645.723009,FALSE,35,19146100104,19146100104_1_BR_3,149.6475792,-19.60571415,0,L_75
117,L_75,28,60,1_S_2,Slope,60982.91789,FALSE,34.94648318,19146100104,19146100104_1_S_2,149.6466679,-19.60583386,0,L_75
118,L_75,28,60,1_S_16,Slope,120311.3126,FALSE,26.87890625,19147100104,19147100104_1_S_16,149.6498449,-19.60663058,0,L_75
119,L_76,22,61,1_BR_4,Back Reef,7292.619445,FALSE,33.58108108,19146100104,19146100104_1_BR_4,149.6312937,-19.62105563,0,L_76
120,L_76,22,61,1_S_6,Slope,78563.10058,FALSE,23.75595238,19146100104,19146100104_1_S_6,149.6316026,-19.62252426,0,L_76
121,L_77,27,65,1_C_2,Crest,126253.3833,FALSE,13.21455085,19146100104,19146100104_1_C_2,149.6320987,-19.59744753,0,L_77
122,L_77,27,65,1_OF_1,Outer Flat,76547.32045,FALSE,31.14355231,19146100104,19146100104_1_OF_1,149.6301094,-19.59791589,0,L_77
123,L_77,27,65,1_S_5,Slope,113991.1126,FALSE,16.58279221,19146100104,19146100104_1_S_5,149.6290995,-19.59726198,0,L_77
124,L_78,25,66,1_C_3,Crest,118629.9327,FALSE,18.84402217,19146100104,19146100104_1_C_3,149.6218226,-19.59878591,0,L_78
125,L_79,22,59,1_C_4,Crest,56027.86954,FALSE,5.695142379,19146100104,19146100104_1_C_4,149.6375642,-19.62883922,0,L_79
126,L_79,22,59,1_IF_2,Inner Flat,107077.9514,FALSE,49.04513889,19146100104,19146100104_1_IF_2,149.6364334,-19.62584647,0,L_79
127,L_79,22,59,1_OF_3,Outer Flat,84868.21813,FALSE,42.73224044,19146100104,19146100104_1_OF_3,149.6371706,-19.62691647,0,L_79
128,L_79,22,59,1_SS_4,Sheltered Slope,71939.41365,FALSE,28.99868248,19146100104,19146100104_1_SS_4,149.6385406,-19.62692504,0,L_79
129,L_80,26,65,1_SS_1,Sheltered Slope,8947.186951,FALSE,15.17045455,19146100104,19146100104_1_SS_1,149.628942,-19.59896844,0,L_80
130,L_81,25,67,1_SS_2,Sheltered Slope,4639.006596,FALSE,3.921568627,19146100104,19146100104_1_SS_2,149.6197598,-19.59693498,0,L_81
131,L_81,25,67,1_S_4,Slope,141161.5988,FALSE,20.48666667,19146100104,19146100104_1_S_4,149.6205205,-19.59839446,0,L_81
132,L_82,22,60,1_SS_3,Sheltered Slope,128953.8081,FALSE,22.08667152,19146100104,19146100104_1_SS_3,149.6354127,-19.62396269,0,L_82
133,L_82,22,60,1_S_10,Slope,36134.80865,FALSE,24.22193878,19146100104,19146100104_1_S_10,149.6340629,-19.62669572,0,L_82
134,L_83,27,64,1_S_1,Slope,80524.47624,FALSE,20.01744186,19146100104,19146100104_1_S_1,149.633811,-19.5976275,0,L_83
135,L_84,22,63,1_S_11,Slope,41100.71491,FALSE,35,19146100104,19146100104_1_S_11,149.6251898,-19.61706935,0,L_84
136,L_85,25,60,1_S_12,Slope,16904.62619,FALSE,22.93956044,19146100104,19146100104_1_S_12,149.6399344,-19.61481734,0,L_85
137,L_86,26,67,1_S_3,Slope,9277.860687,FALSE,27.19387755,19146100104,19146100104_1_S_3,149.6241922,-19.59470893,0,L_86
138,L_87,23,60,1_S_7,Slope,54694.9633,FALSE,19.59412781,19146100104,19146100104_1_S_7,149.6347154,-19.62065312,0,L_87
139,L_88,22,58,1_S_8,Slope,75920.63754,FALSE,18.36633663,19146100104,19146100104_1_S_8,149.6401454,-19.62936687,0,L_88
140,L_89,28,62,1_S_9,Slope,78212.76015,FALSE,35,19146100104,19146100104_1_S_9,149.6420043,-19.60288293,0,L_89
141,L_90,28,59,1_BR_1,Back Reef,19555.28677,FALSE,29.64622642,19147100104,19147100104_1_BR_1,149.650134,-19.60858479,0,L_90
142,L_90,28,59,1_C_5,Crest,112692.2913,FALSE,22.75,19147100104,19147100104_1_C_5,149.6533812,-19.60832458,0,L_90
143,L_90,28,59,1_SS_6,Sheltered Slope,30493.20884,FALSE,32.23076923,19147100104,19147100104_1_SS_6,149.6495645,-19.60923162,0,L_90
144,L_91,28,46,1_BR_10,Back Reef,15919.07394,FALSE,28.51851852,19147100104,19147100104_1_BR_10,149.6907361,-19.64237682,0,L_91
145,L_92,25,47,1_BR_11,Back Reef,8291.358876,FALSE,20.05555556,19147100104,19147100104_1_BR_11,149.6810133,-19.64617541,0,L_92
146,L_92,25,47,1_C_4,Crest,70313.15595,FALSE,27.00534759,19147100104,19147100104_1_C_4,149.6808918,-19.64867436,0,L_92
147,L_92,25,47,1_IF_4,Inner Flat,64673.66771,FALSE,23.74100719,19147100104,19147100104_1_IF_4,149.682336,-19.64704227,0,L_92
148,L_92,25,47,1_OF_11,Outer Flat,14593.09013,FALSE,38.06451613,19147100104,19147100104_1_OF_11,149.6799169,-19.647895,0,L_92
149,L_93,28,58,1_BR_2,Back Reef,14584.55581,TRUE,13.2,19147100104,19147100104_1_BR_2,149.6536789,-19.61239267,0,L_93
150,L_93,28,58,1_OF_10,Outer Flat,109381.7173,FALSE,57.02054795,19147100104,19147100104_1_OF_10,149.6536795,-19.61079618,0,L_93
151,L_94,27,57,1_BR_3,Back Reef,29502.24138,FALSE,41.76751592,19147100104,19147100104_1_BR_3,149.6561074,-19.61583079,0,L_94
152,L_94,27,57,1_S_21,Slope,994.4753919,FALSE,35,19147100104,19147100104_1_S_21,149.6550348,-19.617365,0,L_94
153,L_95,27,54,1_BR_4,Back Reef,19229.47941,FALSE,33.03921569,19147100104,19147100104_1_BR_4,149.6650533,-19.6259397,0,L_95
154,L_95,27,54,1_SS_12,Sheltered Slope,34480.19508,FALSE,24.48648649,19147100104,19147100104_1_SS_12,149.6638725,-19.62570059,0,L_95
155,L_96,30,50,1_BR_5,Back Reef,8289.055948,FALSE,35,19147100104,19147100104_1_BR_5,149.6835325,-19.62576272,0,L_96
156,L_96,30,50,1_SS_7,Sheltered Slope,69296.83295,FALSE,26.67574932,19147100104,19147100104_1_SS_7,149.6847294,-19.62581352,0,L_96
157,L_97,24,56,1_BR_6,Back Reef,6962.203203,FALSE,23.6,19147100104,19147100104_1_BR_6,149.6520033,-19.62704423,0,L_97
158,L_97,24,56,1_SS_9,Sheltered Slope,50394.04599,FALSE,41.91509434,19147100104,19147100104_1_SS_9,149.6532871,-19.62809179,0,L_97
159,L_98,28,48,1_BR_7,Back Reef,31170.71607,FALSE,20.91317365,19147100104,19147100104_1_BR_7,149.6856764,-19.63410052,0,L_98
160,L_98,28,48,1_S_15,Slope,91191.6438,FALSE,19.34224049,19147100104,19147100104_1_S_15,149.6853206,-19.63474697,0,L_98
161,L_99,29,47,1_BR_8,Back Reef,32829.99899,FALSE,30.38348083,19147100104,19147100104_1_BR_8,149.6912859,-19.63552935,0,L_99
162,L_99,29,47,1_S_17,Slope,72292.41796,FALSE,19.72762646,19147100104,19147100104_1_S_17,149.690763,-19.63574784,0,L_99
163,L_100,23,54,1_BR_9,Back Reef,32495.23942,FALSE,16.51603499,19147100104,19147100104_1_BR_9,149.6539815,-19.63745649,0,L_100
164,L_100,23,54,1_P_1,Patch,4973.698995,FALSE,46.15384615,19147100104,19147100104_1_P_1,149.6555425,-19.63619444,0,L_100
165,L_100,23,54,1_SS_8,Sheltered Slope,35809.98863,FALSE,39.14728682,19147100104,19147100104_1_SS_8,149.6538618,-19.63530975,0,L_100
166,L_100,23,54,1_S_6,Slope,213876.2204,FALSE,17.6892779,19147100104,19147100104_1_S_6,149.6561136,-19.6384482,0,L_100
167,L_101,29,57,1_C_1,Crest,148828.9581,FALSE,39.1959799,19147100104,19147100104_1_C_1,149.657989,-19.61146342,0,L_101
168,L_101,29,57,1_S_12,Slope,28506.85119,FALSE,36.14006515,19147100104,19147100104_1_S_12,149.6615655,-19.6122062,0,L_101
169,L_102,29,54,1_C_2,Crest,112384.3752,FALSE,36.5752286,19147100104,19147100104_1_C_2,149.6682052,-19.61972857,0,L_102
170,L_102,29,54,1_S_20,Slope,55696.06713,FALSE,20.73355818,19147100104,19147100104_1_S_20,149.6699505,-19.62079405,0,L_102
171,L_103,29,56,1_C_3,Crest,111380.6606,FALSE,31.19188504,19147100104,19147100104_1_C_3,149.6634997,-19.61498129,0,L_103
172,L_104,31,49,1_C_6,Crest,120688.8674,FALSE,39.50426026,19147100104,19147100104_1_C_6,149.6884493,-19.62472775,0,L_104
173,L_105,26,46,1_C_7,Crest,123047.5963,FALSE,6.120887529,19147100104,19147100104_1_C_7,149.6866903,-19.64705687,0,L_105
174,L_105,26,46,1_S_11,Slope,54393.77842,FALSE,23.94017094,19147100104,19147100104_1_S_11,149.6873439,-19.64791484,0,L_105
175,L_106,31,48,1_C_8,Crest,45427.03495,FALSE,17.87784679,19147100104,19147100104_1_C_8,149.6927387,-19.62831277,0,L_106
176,L_106,31,48,1_S_14,Slope,59352.71071,FALSE,24.91352201,19147100104,19147100104_1_S_14,149.6931829,-19.62717471,0,L_106
177,L_107,30,49,1_IF_1,Inner Flat,156507.271,FALSE,67.38609113,19147100104,19147100104_1_IF_1,149.688322,-19.62913966,0,L_107
178,L_107,30,49,1_OF_6,Outer Flat,235087.0826,FALSE,40.07984032,19147100104,19147100104_1_OF_6,149.6883852,-19.62748504,0,L_107
179,L_108,27,55,1_IF_2,Inner Flat,164766.9095,FALSE,63.44513928,19147100104,19147100104_1_IF_2,149.6639294,-19.62195058,0,L_108
180,L_109,28,56,1_IF_3,Inner Flat,112376.5989,FALSE,58.43071786,19147100104,19147100104_1_IF_3,149.6602929,-19.61667185,0,L_109
181,L_109,28,56,1_OF_3,Outer Flat,136571.7864,FALSE,37.43131868,19147100104,19147100104_1_OF_3,149.6603843,-19.61461459,0,L_109
182,L_110,25,55,1_IF_5,Inner Flat,24864.99671,FALSE,47.95539033,19147100104,19147100104_1_IF_5,149.6560641,-19.62603735,0,L_110
183,L_110,25,55,1_OF_5,Outer Flat,161458.5436,FALSE,31.30081301,19147100104,19147100104_1_OF_5,149.6560726,-19.62684407,0,L_110
184,L_110,25,55,1_S_18,Slope,48405.79004,FALSE,25.73613767,19147100104,19147100104_1_S_18,149.6589682,-19.62819056,0,L_110
185,L_111,26,47,1_OF_1,Outer Flat,126693.0175,FALSE,33.82461312,19147100104,19147100104_1_OF_1,149.6854463,-19.64572182,0,L_111
186,L_111,26,47,1_SS_5,Sheltered Slope,93856.77037,FALSE,24.8839556,19147100104,19147100104_1_SS_5,149.684078,-19.64437697,0,L_111
187,L_112,28,54,1_OF_2,Outer Flat,290086.206,FALSE,41.64781906,19147100104,19147100104_1_OF_2,149.6662391,-19.6222926,0,L_112
